,week,zipcode,date,Longitude,Latitude,State,City,Zip,data_avail
23,300,98272,9/25/16 12:00 AM,-121.93734,47.860245,WA,Monroe,98272,1
198,302,98338,10/14/16 12:00 AM,-122.291,47.028423,WA,Graham,98338,1
200,307,98801,11/20/16 12:00 AM,-120.32881,47.425497,WA,Wenatchee,98801,1
122,308,98012,11/26/16 12:00 AM,-122.20457,47.84311,WA,Bothell,98012,1
201,308,98311,11/28/16 12:00 AM,-122.63493,47.629717,WA,Bremerton,98311,1
203,311,98337,12/16/16 12:00 AM,-122.63479,47.569167,WA,Bremerton,98337,1
204,313,98118,1/6/17 12:00 AM,-122.27496,47.543348,WA,Seattle,98118,1
72,322,98104,3/7/17 12:00 AM,-122.32855,47.60252,WA,Seattle,98104,1
208,323,98005,3/9/17 12:00 AM,-122.16858,47.611021,WA,Bellevue,98005,1
213,324,98155,3/18/17 12:00 AM,-122.30373,47.753019,WA,Seattle,98155,1
92,326,98683,4/1/17 12:00 AM,-122.51035,45.604075,WA,Vancouver,98683,1
220,326,98168,4/4/17 12:00 AM,-122.3027,47.491327,WA,Seattle,98168,1
42,328,98119,4/14/17 12:00 AM,-122.36694,47.63877,WA,Seattle,98119,1
222,328,98116,4/21/17 12:00 AM,-122.39392,47.57487,WA,Seattle,98116,1
223,331,98589,5/11/17 12:00 AM,-122.8326,46.857968,WA,Tenino,98589,1
224,334,98052,5/23/17 12:00 AM,-122.12138,47.677471,WA,Redmond,98052,1
241,337,98103,6/12/17 12:00 AM,-122.34166,47.671346,WA,Seattle,98103,1
225,337,98052,6/13/17 12:00 AM,-122.12138,47.677471,WA,Redmond,98052,1
240,337,98103,6/17/17 12:00 AM,-122.34166,47.671346,WA,Seattle,98103,1
99,337,98126,6/23/17 12:00 AM,-122.3748,47.54687,WA,Seattle,98126,1
253,340,98038,7/7/17 12:00 AM,-122.03553,47.381989,WA,Maple Valley,98038,1
123,342,98012,7/21/17 12:00 AM,-122.20457,47.84311,WA,Bothell,98012,1
255,346,98136,8/20/17 12:00 AM,-122.38803,47.538887,WA,Seattle,98136,1
226,350,98052,9/10/17 12:00 AM,-122.12138,47.677471,WA,Redmond,98052,1
256,351,98363,9/20/17 12:00 AM,-123.63765,48.102836,WA,Port Angeles,98363,1
258,351,98029,9/25/17 12:00 AM,-122.02065,47.572401,WA,Issaquah,98029,1
149,351,98106,9/28/17 12:00 AM,-122.35443,47.53282,WA,Seattle,98106,1
93,351,98683,9/29/17 12:00 AM,-122.51035,45.604075,WA,Vancouver,98683,1
262,353,98444,10/2/17 12:00 AM,-122.4485,47.153571,WA,Tacoma,98444,1
267,355,98102,10/15/17 12:00 AM,-122.32253,47.63287,WA,Seattle,98102,1
271,358,98439,11/9/17 12:00 AM,-122.52294,47.12562,WA,Lakewood,98439,1
272,360,98383,11/24/17 12:00 AM,-122.69055,47.667257,WA,Silverdale,98383,1
227,361,98052,11/27/17 12:00 AM,-122.12138,47.677471,WA,Redmond,98052,1
150,363,98106,12/12/17 12:00 AM,-122.35443,47.53282,WA,Seattle,98106,1
187,363,98026,12/15/17 12:00 AM,-122.33651,47.821568,WA,Edmonds,98026,1
24,365,98272,12/25/17 12:00 AM,-121.93734,47.860245,WA,Monroe,98272,1
68,365,98332,12/27/17 12:00 AM,-122.60011,47.364321,WA,Gig Harbor,98332,1
214,366,98155,1/5/18 12:00 AM,-122.30373,47.753019,WA,Seattle,98155,1
274,367,98506,1/14/18 12:00 AM,-122.87249,47.069339,WA,Olympia,98506,1
275,367,98006,1/17/18 12:00 AM,-122.1526,47.562975,WA,Bellevue,98006,1
279,369,98367,1/26/18 12:00 AM,-122.66335,47.470971,WA,Port Orchard,98367,1
94,369,98683,1/31/18 12:00 AM,-122.51035,45.604075,WA,Vancouver,98683,1
281,371,98375,2/11/18 12:00 AM,-122.32247,47.112477,WA,Puyallup,98375,1
5,373,98296,2/18/18 12:00 AM,-122.11068,47.846083,WA,Snohomish,98296,1
1,373,98501,2/20/18 12:00 AM,-122.8819,47.014718,WA,Olympia,98501,1
282,373,99354,2/24/18 12:00 AM,-119.5,46.5,WA,Richland,99354,1
284,376,98109,3/17/18 12:00 AM,-122.34675,47.630648,WA,Seattle,98109,1
242,380,98103,4/20/18 12:00 AM,-122.34166,47.671346,WA,Seattle,98103,1
31,383,98115,5/5/18 12:00 AM,-122.30122,47.68382,WA,Seattle,98115,1
209,384,98005,5/16/18 12:00 AM,-122.16858,47.611021,WA,Bellevue,98005,1
292,385,98226,5/18/18 12:00 AM,-122.43597,48.759079,WA,Bellingham,98226,1
289,385,98374,5/19/18 12:00 AM,-122.26012,47.140045,WA,Puyallup,98374,1
296,386,98058,5/26/18 12:00 AM,-122.14584,47.448322,WA,Renton,98058,1
188,386,98026,5/31/18 12:00 AM,-122.33651,47.821568,WA,Edmonds,98026,1
300,392,98003,7/5/18 12:00 AM,-122.31188,47.311072,WA,Federal Way,98003,1
303,393,98271,7/12/18 12:00 AM,-122.21614,48.093129,WA,Marysville,98271,1
77,394,98199,7/16/18 12:00 AM,-122.39758,47.64767,WA,Seattle,98199,1
228,394,98052,7/19/18 12:00 AM,-122.12138,47.677471,WA,Redmond,98052,1
25,394,98272,7/20/18 12:00 AM,-121.93734,47.860245,WA,Monroe,98272,1
127,396,98253,7/30/18 12:00 AM,-122.57129,48.085852,WA,Greenbank,98253,1
12,395,98105,7/31/18 12:00 AM,-122.30118,47.66377,WA,Seattle,98105,1
305,402,98607,9/15/18 12:00 AM,-122.40547,45.60916,WA,Camas,98607,1
259,404,98029,9/29/18 12:00 AM,-122.02065,47.572401,WA,Issaquah,98029,1
306,404,98208,10/5/18 12:00 AM,-122.19797,47.893451,WA,Everett,98208,1
309,405,98584,10/10/18 12:00 AM,-123.10538,47.224044,WA,Shelton,98584,1
313,407,98371,10/19/18 12:00 AM,-122.31577,47.196272,WA,Puyallup,98371,1
13,411,98105,11/22/18 12:00 AM,-122.30118,47.66377,WA,Seattle,98105,1
134,415,98117,12/10/18 12:00 AM,-122.37838,47.685919,WA,Seattle,98117,1
135,416,98117,12/21/18 12:00 AM,-122.37838,47.685919,WA,Seattle,98117,1
159,419,98040,1/7/19 12:00 AM,-122.23233,47.569271,WA,Mercer Island,98040,1
318,418,99224,1/10/19 12:00 AM,-117.49326,47.632573,WA,Spokane,99224,1
314,420,98371,1/23/19 12:00 AM,-122.31577,47.196272,WA,Puyallup,98371,1
