,DOL Transaction Date,County,Postal Code,week
0,2011-05-10,King,98059,18
1,2011-05-17,King,98115,19
2,2011-07-20,Thurston,98506,28
3,2011-09-06,King,98105,35
4,2012-01-25,King,98039,55
5,2012-03-22,Snohomish,98203,63
6,2012-07-06,King,98074,78
7,2012-08-09,King,98119,83
8,2012-09-18,King,98001,89
9,2012-09-28,Jefferson,98368,90
10,2012-10-09,King,98115,92
11,2012-11-15,King,98144,97
12,2012-11-14,Pierce,98404,97
13,2012-12-27,King,98034,103
14,2013-01-11,King,98042,105
15,2013-01-17,King,98031,106
16,2013-02-05,Thurston,98597,109
17,2013-03-29,Kitsap,98110,116
18,2013-04-12,King,98112,118
19,2013-05-21,King,98075,124
20,2013-05-20,Snohomish,98292,124
21,2013-05-30,King,98006,125
22,2013-06-14,Snohomish,98290,127
23,2013-08-09,Thurston,98516,135
24,2013-08-06,Pierce,98466,135
25,2013-08-27,King,98178,138
26,2013-09-18,King,98075,141
27,2013-09-16,King,98007,141
28,2013-09-24,Clark,98607,142
29,2013-09-27,King,98115,142
30,2013-10-08,Whatcom,98225,144
31,2013-10-15,King,98126,145
32,2014-01-03,King,98006,156
33,2014-01-07,King,98092,157
34,2014-01-23,Pierce,98391,159
35,2014-02-26,King,98022,164
36,2014-04-04,King,98038,169
37,2014-05-22,King,98055,176
38,2014-05-30,Thurston,98502,177
39,2014-06-12,Snohomish,98208,179
40,2014-07-22,Whatcom,98229,185
41,2014-07-22,Clark,98607,185
42,2014-07-26,Clark,98664,186
43,2014-08-01,Yakima,98902,186
44,2014-08-05,King,98008,187
45,2014-08-14,King,98055,188
46,2014-09-09,Whatcom,98226,192
47,2014-10-03,King,98055,195
48,2014-10-17,King,98133,197
49,2014-10-24,King,98117,198
50,2014-10-20,King,98072,198
51,2014-10-22,Snohomish,98223,198
52,2014-10-29,King,98116,199
53,2014-11-07,Clark,98682,200
54,2014-11-20,Snohomish,98021,202
55,2015-01-21,King,98102,211
56,2015-03-05,Snohomish,98026,217
57,2015-04-09,Snohomish,98012,222
58,2015-06-17,King,98104,232
59,2015-06-15,Snohomish,98012,232
60,2015-07-02,King,98028,234
61,2015-07-01,King,98027,234
62,2015-07-14,Kitsap,98110,236
63,2015-07-24,Whitman,99163,237
64,2015-08-25,King,98033,242
65,2015-09-16,Clallam,98382,245
66,2015-09-15,Pacific,98577,245
67,2015-11-19,Pierce,98424,254
68,2015-11-16,Thurston,98502,254
69,2015-11-16,Snohomish,98012,254
70,2016-01-04,King,98034,261
71,2016-01-07,Benton,99320,261
72,2016-02-02,King,98178,265
73,2016-03-18,King,98075,271
74,2016-03-23,King,98034,272
75,2016-04-06,King,98040,274
76,2016-04-21,Snohomish,98012,276
77,2016-04-20,Whatcom,98248,276
78,2016-04-27,King,98006,277
79,2016-05-06,San Juan,98250,278
80,2016-05-19,Whatcom,98226,280
81,2016-05-31,Kitsap,98367,282
82,2016-06-20,Jefferson,98365,285
83,2016-07-15,King,98022,288
84,2016-07-15,King,98109,288
85,2016-07-22,King,98075,289
86,2016-08-12,Cowlitz,98674,292
87,2016-08-06,Kitsap,98366,292
88,2016-08-19,Snohomish,98208,293
89,2016-08-23,King,98107,294
90,2016-08-22,King,98122,294
91,2016-09-07,Snohomish,98021,296
92,2016-09-06,King,98075,296
93,2016-09-21,Snohomish,98271,298
94,2016-09-27,King,98075,299
95,2016-10-06,Pierce,98409,300
96,2016-10-12,King,98053,301
97,2016-10-13,Benton,99336,301
98,2016-10-12,King,98065,301
99,2016-10-13,King,98040,301
100,2016-10-31,King,98006,304
101,2016-11-15,King,98034,306
102,2016-11-15,Pierce,98372,306
103,2016-11-17,King,98125,306
104,2016-12-23,Snohomish,98012,311
105,2017-01-05,Island,98277,313
106,2017-01-06,King,98055,313
107,2017-01-18,Pierce,98374,315
108,2017-03-30,Skagit,98274,325
109,2017-04-05,Thurston,98503,326
110,2017-05-02,Thurston,98501,330
111,2017-05-16,Benton,99337,332
112,2017-05-23,Snohomish,98275,333
113,2017-06-02,Snohomish,98272,334
114,2017-06-07,King,98005,335
115,2017-07-07,San Juan,98245,339
116,2017-07-07,Thurston,98516,339
117,2017-08-10,King,98126,344
118,2017-08-11,King,98027,344
119,2017-09-05,Pierce,98466,348
120,2017-09-13,Franklin,99301,349
121,2017-09-15,Snohomish,98201,349
122,2017-09-29,Snohomish,98296,351
123,2017-10-13,King,98007,353
124,2017-10-17,King,98004,354
125,2017-10-16,King,98125,354
126,2017-10-24,King,98074,355
127,2017-10-26,Pierce,98374,355
128,2017-10-26,King,98177,355
129,2017-11-06,King,98103,357
130,2017-11-07,Kitsap,98110,357
131,2017-11-08,Pierce,98338,357
132,2017-12-28,Clark,98664,364
133,2018-01-10,Snohomish,98037,366
134,2018-01-11,King,98092,366
135,2018-01-19,Clark,98684,367
136,2018-01-17,King,98198,367
137,2018-02-14,Thurston,98516,371
138,2018-02-13,Snohomish,98208,371
139,2018-02-20,King,98033,372
140,2018-02-27,King,98104,373
141,2018-03-15,King,98103,375
142,2018-03-13,Chelan,98801,375
143,2018-03-22,Snohomish,98037,376
144,2018-03-30,King,98105,377
145,2018-04-09,Lewis,98531,379
146,2018-05-03,Snohomish,98270,382
147,2018-05-17,Whatcom,98229,384
148,2018-05-24,King,98033,385
149,2018-05-24,King,98052,385
150,2018-06-01,King,98034,386
151,2018-06-07,King,98092,387
152,2018-06-22,Clark,98671,389
153,2018-06-18,King,98101,389
154,2018-06-28,Skagit,98233,390
155,2018-07-03,King,98034,391
156,2018-07-19,King,98074,393
157,2018-07-27,King,98006,394
158,2018-07-31,King,98004,395
159,2018-08-08,Thurston,98501,396
160,2018-08-08,King,98109,396
161,2018-08-23,Clark,98683,398
162,2018-08-27,King,98033,399
163,2018-08-29,Snohomish,98272,399
164,2018-09-05,King,98115,400
165,2018-09-28,King,98115,403
166,2018-09-28,King,98007,403
167,2018-10-05,King,98052,404
168,2018-10-17,Thurston,98512,406
169,2018-10-17,King,98004,406
170,2018-10-18,Island,98239,406
171,2018-10-25,Thurston,98512,407
172,2018-10-30,King,98019,408
173,2018-11-14,Kitsap,98110,410
174,2018-11-16,King,98053,410
175,2018-11-15,Snohomish,98087,410
176,2018-11-29,Pierce,98335,412
177,2018-12-06,Whitman,99163,413
178,2018-12-05,Snohomish,98012,413
179,2018-12-05,King,98033,413
180,2018-12-05,King,98118,413
181,2018-12-11,King,98006,414
182,2018-12-18,King,98033,415
183,2018-12-26,King,98075,416
184,2018-12-26,Snohomish,98020,416
185,2019-01-03,King,98133,417
186,2019-01-02,King,98038,417
187,2019-01-09,Island,98282,418
188,2019-01-09,King,98118,418
189,2019-01-07,Kitsap,98359,418
190,2019-01-18,King,98103,419
191,2019-01-24,King,98108,420
192,2019-01-24,Thurston,98501,420
193,2019-02-07,King,98072,422
194,2019-02-07,Snohomish,98296,422
195,2019-02-08,King,98006,422
196,2019-02-26,Skagit,98273,425
197,2019-03-13,Thurston,98501,427
198,2019-03-15,Snohomish,98036,427
199,2019-04-05,King,98033,430
200,2019-04-09,Yakima,98944,431
201,2019-04-18,Island,98282,432
202,2019-04-26,Snohomish,98021,433
203,2019-05-24,Skamania,98671,437
204,2019-05-31,Kitsap,98110,438
205,2019-06-14,Chelan,98801,440
206,2019-06-21,Clark,98686,441
207,2019-06-25,King,98109,442
208,2019-06-25,King,98052,442
209,2019-07-19,King,98040,445
210,2019-07-23,Clark,98664,446
211,2019-08-06,King,98052,448
212,2019-08-16,King,98052,449
213,2019-08-30,King,98115,451
214,2019-09-11,King,98075,453
215,2019-09-17,Island,98282,454
216,2019-09-16,Thurston,98501,454
217,2019-10-05,King,98101,457
218,2019-10-10,King,98075,457
219,2019-10-16,Thurston,98512,458
220,2019-10-14,King,98034,458
221,2019-10-15,Clark,98661,458
222,2019-10-15,King,98033,458
223,2019-10-22,King,98003,459
224,2019-11-08,King,98006,461
225,2019-12-03,Snohomish,98201,465
226,2019-12-04,Pierce,98407,465
227,2019-12-06,King,98033,465
228,2019-12-17,Pierce,98371,467
229,2019-12-20,King,98104,467
230,2019-12-21,King,98168,468
231,2019-12-31,King,98004,469
232,2019-12-31,King,98052,469
233,2020-01-03,Island,98260,469
234,2020-01-10,King,98144,470
235,2020-01-07,Snohomish,98296,470
236,2020-01-15,King,98028,471
237,2020-01-17,Kitsap,98370,471
238,2020-01-31,Snohomish,98021,473
239,2020-01-31,King,98102,473
240,2020-02-04,Pierce,98387,474
241,2020-02-05,Franklin,99301,474
242,2020-02-28,Whatcom,98225,477
243,2020-03-06,King,98199,478
244,2020-03-25,King,98177,481
245,2020-03-31,King,98126,482
246,2020-04-16,Spokane,99203,484
247,2020-05-07,King,98003,487
248,2020-05-13,King,98040,488
249,2020-05-12,King,98006,488
250,2020-06-03,Snohomish,98026,491
251,2020-07-01,Clark,98604,495
252,2020-07-07,King,98033,496
253,2020-07-07,King,98115,496
254,2020-07-14,King,98008,497
255,2020-07-17,Pierce,98406,497
256,2020-07-30,King,98122,499
257,2020-07-28,Pierce,98332,499
258,2020-09-23,Spokane,99201,507
259,2020-09-28,Island,98239,508
260,2020-10-08,King,98029,509
261,2020-10-07,King,98101,509
262,2020-10-13,Thurston,98501,510
263,2020-10-13,King,98168,510
264,2020-10-13,Kitsap,98310,510
265,2020-10-22,Kitsap,98346,511
266,2020-10-27,Pierce,98335,512
267,2020-11-02,Yakima,98948,513
268,2020-11-02,King,98122,513
269,2020-11-02,Snohomish,98270,513
270,2020-11-02,Pierce,98335,513
271,2020-11-12,King,98052,514
272,2020-11-13,Snohomish,98272,514
273,2020-11-13,King,98072,514
274,2020-11-18,King,98188,515
275,2020-11-19,King,98034,515
276,2020-11-25,King,98107,516
277,2020-12-17,King,98004,519
278,2020-12-16,Snohomish,98012,519
279,2020-12-21,King,98004,520
280,2020-12-30,King,98040,521
281,2021-01-05,Pierce,98467,522
282,2021-01-07,Snohomish,98275,522
283,2021-01-07,Skagit,98221,522
284,2021-01-05,Snohomish,98012,522
285,2021-01-07,King,98125,522
286,2021-01-07,Kitsap,98110,522
287,2021-01-12,King,98115,523
288,2021-01-21,King,98125,524
289,2021-01-25,King,98033,525
290,2021-01-28,Pierce,98422,525
291,2021-02-04,King,98006,526
292,2021-02-04,King,98125,526
293,2021-02-09,King,98177,527
294,2021-02-09,King,98005,527
295,2021-02-10,Skagit,98273,527
