,DOL Transaction Date,County,Postal Code,week
0,2011-04-28,King,98106,16
1,2011-06-02,King,98103,21
2,2011-06-08,Snohomish,98012,22
3,2011-06-30,King,98112,25
4,2011-07-07,King,98027,26
5,2012-02-03,Whatcom,98229,56
6,2012-08-08,Pierce,98499,83
7,2012-10-11,King,98106,92
8,2013-01-02,King,98115,104
9,2013-01-11,Skagit,98257,105
10,2013-02-19,Skagit,98221,111
11,2013-04-02,King,98103,117
12,2013-04-19,Pierce,98499,119
13,2013-04-29,King,98155,121
14,2013-05-08,Pierce,98403,122
15,2013-05-14,King,98011,123
16,2013-06-25,King,98121,129
17,2013-07-05,King,98005,130
18,2013-08-12,King,98118,136
19,2013-08-20,King,98007,137
20,2013-08-28,King,98040,138
21,2013-09-04,King,98006,139
22,2013-09-13,Kitsap,98110,140
23,2013-09-24,Clark,98682,142
24,2014-01-16,King,98005,158
25,2014-03-31,Pierce,98409,169
26,2014-04-09,Pierce,98332,170
27,2014-05-01,Benton,99352,173
28,2014-05-14,King,98059,175
29,2014-05-15,King,98112,175
30,2014-06-06,King,98074,178
31,2014-06-13,King,98108,179
32,2014-07-03,Thurston,98512,182
33,2014-07-09,King,98118,183
34,2014-08-21,King,98112,189
35,2014-08-29,King,98033,190
36,2014-09-17,Pierce,98387,193
37,2014-10-06,King,98033,196
38,2014-10-27,Snohomish,98012,199
39,2014-11-13,Pierce,98375,201
40,2014-11-13,King,98122,201
41,2015-01-06,King,98199,209
42,2015-01-21,Pierce,98498,211
43,2015-01-29,King,98072,212
44,2015-02-02,Thurston,98501,213
45,2015-03-26,King,98038,220
46,2015-04-03,King,98072,221
47,2015-04-09,King,98198,222
48,2015-04-14,King,98058,223
49,2015-05-19,King,98115,228
50,2015-06-10,King,98148,231
51,2015-06-11,King,98070,231
52,2015-07-07,Clallam,98363,235
53,2015-07-15,King,98116,236
54,2015-07-17,Snohomish,98012,236
55,2015-07-31,Pierce,98407,238
56,2015-08-06,Snohomish,98294,239
57,2015-08-19,King,98058,241
58,2015-09-25,King,98117,246
59,2015-10-13,King,98103,249
60,2015-10-28,Pierce,98499,251
61,2015-12-04,King,98008,256
62,2015-12-09,Snohomish,98208,257
63,2015-12-09,King,98102,257
64,2015-12-11,King,98074,257
65,2016-01-20,King,98105,263
66,2016-02-17,King,98118,267
67,2016-03-23,Klickitat,98672,272
68,2016-03-30,Pierce,98321,273
69,2016-04-20,King,98075,276
70,2016-05-02,King,98011,278
71,2016-06-24,King,98057,285
72,2016-07-14,Kitsap,98110,288
73,2016-09-02,King,98104,295
74,2016-09-07,Snohomish,98021,296
75,2016-09-14,King,98052,297
76,2016-09-28,King,98072,299
77,2016-09-26,King,98052,299
78,2016-09-29,King,98033,299
79,2016-10-14,Clark,98683,301
80,2016-10-12,King,98053,301
81,2016-10-22,Benton,99354,303
82,2016-11-23,King,98007,307
83,2016-12-20,Chelan,98816,311
84,2017-01-18,King,98103,315
85,2017-01-27,Snohomish,98275,316
86,2017-01-23,King,98028,316
87,2017-02-15,Snohomish,98012,319
88,2017-02-23,Pierce,98418,320
89,2017-03-08,Snohomish,98020,322
90,2017-03-08,King,98007,322
91,2017-04-04,Snohomish,98012,326
92,2017-04-05,King,98074,326
93,2017-04-13,King,98112,327
94,2017-04-14,King,98168,327
95,2017-05-05,King,98072,330
96,2017-06-02,Snohomish,98026,334
97,2017-06-06,Thurston,98501,335
98,2017-06-07,King,98004,335
99,2017-06-22,Snohomish,98087,337
100,2017-06-27,Snohomish,98036,338
101,2017-07-07,Yakima,98942,339
102,2017-07-12,King,98155,340
103,2017-08-03,King,98006,343
104,2017-08-09,Clark,98664,344
105,2017-08-22,King,98033,346
106,2017-08-25,Snohomish,98020,346
107,2017-08-24,Thurston,98579,346
108,2017-09-14,King,98116,349
109,2017-09-19,Whatcom,98226,350
110,2017-09-25,Snohomish,98021,351
111,2017-09-26,King,98144,351
112,2017-10-13,Pierce,98375,353
113,2017-10-10,King,98040,353
114,2017-10-19,King,98115,354
115,2017-11-14,Pierce,98391,358
116,2017-11-21,Clark,98682,359
117,2017-11-28,Pierce,98408,360
118,2018-01-10,King,98116,366
119,2018-01-08,King,98115,366
120,2018-01-26,King,98006,368
121,2018-02-02,King,98033,369
122,2018-02-22,Pierce,98321,372
123,2018-02-26,King,98126,373
124,2018-03-28,King,98052,377
125,2018-04-05,King,98116,378
126,2018-04-06,King,98199,378
127,2018-04-19,Grays Harbor,98595,380
128,2018-04-18,King,98122,380
129,2018-04-18,King,98052,380
130,2018-04-27,Snohomish,98272,381
131,2018-05-04,King,98033,382
132,2018-04-30,Clark,98604,382
133,2018-05-16,King,98065,384
134,2018-05-18,Pierce,98407,384
135,2018-05-31,Snohomish,98026,386
136,2018-05-29,King,98052,386
137,2018-05-31,King,98005,386
138,2018-05-31,King,98008,386
139,2018-05-29,King,98121,386
140,2018-06-04,King,98006,387
141,2018-06-12,Snohomish,98026,388
142,2018-06-15,King,98133,388
143,2018-06-29,King,98117,390
144,2018-07-11,King,98011,392
145,2018-07-12,King,98104,392
146,2018-07-09,Skagit,98221,392
147,2018-07-18,King,98072,393
148,2018-07-20,King,98070,393
149,2018-07-26,King,98014,394
150,2018-08-10,Skagit,98274,396
151,2018-08-16,King,98059,397
152,2018-09-06,Chelan,98816,400
153,2018-09-05,King,98118,400
154,2018-09-05,King,98052,400
155,2018-09-12,King,98177,401
156,2018-09-14,King,98052,401
157,2018-09-20,King,98072,402
158,2018-10-04,Pierce,98332,404
159,2018-10-04,King,98033,404
160,2018-10-10,Snohomish,98026,405
161,2018-10-09,King,98119,405
162,2018-10-12,King,98053,405
163,2018-10-24,Snohomish,98026,407
164,2018-10-30,Skagit,98221,408
165,2018-10-30,King,98040,408
166,2018-10-30,King,98059,408
167,2018-11-08,Snohomish,98290,409
168,2018-11-06,Snohomish,98036,409
169,2018-11-14,King,98115,410
170,2018-11-20,Kitsap,98110,411
171,2018-11-30,King,98006,412
172,2018-12-04,Kittitas,98926,413
173,2018-12-05,Spokane,99203,413
174,2018-12-11,Snohomish,98271,414
175,2018-12-21,King,98104,415
176,2018-12-17,Snohomish,98026,415
177,2018-12-20,Snohomish,98272,415
178,2018-12-18,King,98040,415
179,2018-12-18,King,98006,415
180,2018-12-26,King,98125,416
181,2018-12-28,Island,98277,416
182,2018-12-28,King,98075,416
183,2019-01-02,King,98038,417
184,2019-01-11,King,98125,418
185,2019-01-15,King,98034,419
186,2019-01-16,King,98116,419
187,2019-01-25,King,98011,420
188,2019-01-29,King,98056,421
189,2019-01-29,Skagit,98284,421
190,2019-02-21,Snohomish,98026,424
191,2019-03-29,Kitsap,98370,429
192,2019-03-26,Thurston,98501,429
193,2019-04-01,Chelan,98801,430
194,2019-04-10,King,98052,431
195,2019-04-16,Snohomish,98012,432
196,2019-04-16,King,98107,432
197,2019-04-24,Clark,98663,433
198,2019-04-30,King,98005,434
199,2019-05-10,King,98052,435
200,2019-05-13,King,98075,436
201,2019-06-18,Spokane,99022,441
202,2019-06-21,King,98052,441
203,2019-06-24,King,98058,442
204,2019-06-28,King,98004,442
205,2019-07-15,Snohomish,98036,445
206,2019-07-26,King,98075,446
207,2019-07-26,King,98198,446
208,2019-07-30,Snohomish,98290,447
209,2019-09-06,King,98040,452
210,2019-09-03,King,98010,452
211,2019-09-10,Whatcom,98225,453
212,2019-09-09,King,98052,453
213,2019-09-19,Thurston,98501,454
214,2019-09-19,King,98033,454
215,2019-09-27,King,98115,455
216,2019-09-24,King,98040,455
217,2019-10-01,King,98027,456
218,2019-10-01,Pierce,98407,456
219,2019-10-05,King,98119,457
220,2019-10-18,King,98034,458
221,2019-10-15,Pierce,98407,458
222,2019-10-15,King,98074,458
223,2019-11-14,King,98119,462
224,2019-12-02,King,98057,465
225,2019-12-06,Pierce,98373,465
226,2019-12-03,Snohomish,98290,465
227,2020-01-03,Grays Harbor,98520,469
228,2020-01-07,King,98033,470
229,2020-01-07,King,98033,470
230,2020-01-21,King,98052,472
231,2020-01-21,Grant,98823,472
232,2020-01-22,King,98121,472
233,2020-01-22,Snohomish,98223,472
234,2020-01-21,King,98042,472
235,2020-01-21,King,98056,472
236,2020-01-21,Pierce,98373,472
