,DOL Transaction Date,County,Postal Code,week
0,2011-04-15,King,98072,14
1,2011-04-28,King,98005,16
2,2011-05-03,King,98031,17
3,2011-05-25,Snohomish,98020,20
4,2011-08-11,Spokane,99208,31
5,2011-10-25,King,98109,42
6,2012-03-12,Thurston,98589,62
7,2012-06-13,Spokane,99037,75
8,2012-08-21,King,98004,85
9,2012-10-23,King,98056,94
10,2012-12-04,King,98052,100
11,2012-12-31,Kitsap,98110,104
12,2013-01-07,King,98023,105
13,2013-01-16,King,98033,106
14,2013-03-01,Benton,99336,112
15,2013-02-28,King,98029,112
16,2013-03-08,Clark,98661,113
17,2013-03-15,Island,98253,114
18,2013-04-12,Thurston,98501,118
19,2013-04-15,King,98112,119
20,2013-05-31,King,98006,125
21,2013-05-30,Snohomish,98043,125
22,2013-06-04,King,98133,126
23,2013-06-13,King,98004,127
24,2013-06-20,King,98042,128
25,2013-07-09,Pierce,98374,131
26,2013-07-11,King,98118,131
27,2013-08-06,Clallam,98382,135
28,2013-08-15,Whatcom,98226,136
29,2013-08-29,King,98040,138
30,2013-08-29,Thurston,98597,138
31,2013-09-23,King,98052,142
32,2013-10-01,Pierce,98498,143
33,2013-10-24,King,98052,146
34,2014-01-16,King,98072,158
35,2014-01-16,Snohomish,98021,158
36,2014-02-13,King,98029,162
37,2014-06-16,Kitsap,98359,180
38,2014-06-16,King,98004,180
39,2014-07-01,King,98008,182
40,2014-07-08,King,98106,183
41,2014-07-08,Mason,98584,183
42,2014-07-29,King,98109,186
43,2014-08-04,King,98059,187
44,2014-08-25,Island,98239,190
45,2014-09-10,King,98125,192
46,2014-09-16,King,98006,193
47,2014-10-17,Clark,98660,197
48,2014-10-13,Thurston,98501,197
49,2014-10-17,King,98074,197
50,2015-04-09,King,98053,222
51,2015-04-30,King,98133,225
52,2015-05-21,Snohomish,98026,228
53,2015-05-29,King,98033,229
54,2015-06-05,King,98056,230
55,2015-06-11,King,98148,231
56,2015-06-12,King,98119,231
57,2015-07-01,King,98027,234
58,2015-07-17,King,98045,236
59,2015-07-17,King,98074,236
60,2015-07-14,King,98028,236
61,2015-07-14,Pierce,98303,236
62,2015-07-23,King,98011,237
63,2015-07-29,Spokane,99208,238
64,2015-08-27,Island,98253,242
65,2015-09-24,King,98136,246
66,2015-10-05,Klickitat,98650,248
67,2015-10-09,Whatcom,98226,248
68,2015-10-28,Thurston,98502,251
69,2015-12-15,Snohomish,98087,258
70,2016-01-13,King,98027,262
71,2016-01-14,King,98199,262
72,2016-02-17,King,98004,267
73,2016-02-24,King,98059,268
74,2016-03-02,King,98033,269
75,2016-03-24,King,98052,272
76,2016-03-24,Kitsap,98110,272
77,2016-04-22,King,98178,276
78,2016-04-29,King,98052,277
79,2016-04-25,Snohomish,98012,277
80,2016-05-02,King,98125,278
81,2016-05-05,Kitsap,98370,278
82,2016-05-19,King,98033,280
83,2016-05-24,Snohomish,98026,281
84,2016-05-31,Thurston,98501,282
85,2016-09-09,King,98112,296
86,2016-09-20,Kitsap,98311,298
87,2016-09-26,King,98052,299
88,2016-10-18,Snohomish,98252,302
89,2016-10-18,King,98052,302
90,2016-10-21,King,98075,302
91,2016-10-18,King,98106,302
92,2016-12-08,King,98052,309
93,2016-12-06,King,98045,309
94,2016-12-08,King,98007,309
95,2017-01-04,King,98052,313
96,2017-01-24,Whatcom,98248,316
97,2017-02-03,Clallam,98382,317
98,2017-02-02,King,98006,317
99,2017-02-08,King,98040,318
100,2017-02-17,Pierce,98335,319
101,2017-03-07,Clark,98664,322
102,2017-03-10,King,98125,322
103,2017-03-13,Skagit,98221,323
104,2017-03-22,King,98102,324
105,2017-04-10,Spokane,99021,327
106,2017-04-25,King,98005,329
107,2017-05-10,Whatcom,98229,331
108,2017-05-12,Kitsap,98110,331
109,2017-05-09,King,98008,331
110,2017-06-01,Mason,98524,334
111,2017-06-01,King,98118,334
112,2017-06-08,Thurston,98501,335
113,2017-06-06,Snohomish,98271,335
114,2017-06-13,King,98023,336
115,2017-06-27,Pierce,98467,338
116,2017-07-13,Thurston,98512,340
117,2017-07-12,King,98008,340
118,2017-07-20,King,98053,341
119,2017-09-01,Benton,99352,347
120,2017-09-21,Grays Harbor,98520,350
121,2017-09-20,Snohomish,98275,350
122,2017-09-28,Chelan,98801,351
123,2017-10-06,King,98101,352
124,2017-10-06,King,98107,352
125,2017-10-12,King,98019,353
126,2017-10-10,King,98115,353
127,2017-12-05,King,98107,361
128,2017-12-19,Island,98236,363
129,2018-01-09,Clallam,98382,366
130,2018-01-10,King,98101,366
131,2018-01-11,Thurston,98501,366
132,2018-01-09,King,98006,366
133,2018-02-08,King,98105,370
134,2018-02-15,King,98101,371
135,2018-02-21,Clark,98607,372
136,2018-02-23,King,98053,372
137,2018-02-27,King,98125,373
138,2018-03-01,King,98116,373
139,2018-03-06,Pierce,98328,374
140,2018-04-18,King,98053,380
141,2018-04-18,King,98007,380
142,2018-04-24,King,98118,381
143,2018-05-02,King,98052,382
144,2018-05-08,King,98008,383
145,2018-05-10,King,98006,383
146,2018-05-16,King,98052,384
147,2018-05-17,Pierce,98403,384
148,2018-05-23,King,98136,385
149,2018-05-22,King,98023,385
150,2018-05-31,King,98019,386
151,2018-05-29,King,98199,386
152,2018-06-04,King,98052,387
153,2018-06-04,King,98115,387
154,2018-06-19,Mason,98584,389
155,2018-07-06,King,98059,391
156,2018-07-13,King,98112,392
157,2018-08-01,King,98104,395
158,2018-08-03,King,98144,395
159,2018-08-02,King,98074,395
160,2018-07-30,King,98092,395
161,2018-08-17,Thurston,98597,397
162,2018-08-15,King,98014,397
163,2018-08-21,Thurston,98513,398
164,2018-08-29,King,98074,399
165,2018-08-29,King,98117,399
166,2018-09-14,King,98033,401
167,2018-09-13,Chelan,98826,401
168,2018-09-26,King,98040,403
169,2018-09-28,King,98116,403
170,2018-10-09,King,98117,405
171,2018-10-19,Snohomish,98026,406
172,2018-10-23,King,98119,407
173,2018-10-24,King,98072,407
174,2018-10-31,King,98011,408
175,2018-11-07,King,98056,409
176,2018-11-08,Snohomish,98021,409
177,2018-11-15,Thurston,98501,410
178,2018-11-15,Clallam,98362,410
179,2018-11-20,King,98103,411
180,2018-11-21,King,98116,411
181,2018-11-29,King,98029,412
182,2018-12-05,King,98032,413
183,2018-12-06,Yakima,98908,413
184,2018-12-05,Snohomish,98036,413
185,2018-12-06,King,98052,413
186,2018-12-14,King,98023,414
187,2018-12-20,King,98101,415
188,2018-12-18,King,98053,415
189,2018-12-21,King,98028,415
190,2018-12-28,Pierce,98391,416
191,2019-01-03,King,98065,417
192,2019-01-11,King,98108,418
193,2019-01-17,King,98108,419
194,2019-01-17,King,98052,419
195,2019-01-15,Pierce,98422,419
196,2019-01-25,King,98040,420
197,2019-01-23,King,98126,420
198,2019-01-28,King,98177,421
199,2019-01-30,King,98029,421
200,2019-02-21,King,98074,424
201,2019-03-05,Pierce,98403,426
202,2019-03-20,Clark,98683,428
203,2019-03-25,King,98103,429
204,2019-03-29,King,98034,429
205,2019-03-29,King,98008,429
206,2019-04-05,King,98008,430
207,2019-04-16,King,98107,432
208,2019-04-16,Kitsap,98367,432
209,2019-04-19,King,98059,432
210,2019-05-01,Snohomish,98036,434
211,2019-05-15,King,98166,436
212,2019-05-21,King,98105,437
213,2019-05-24,King,98008,437
214,2019-06-07,Whatcom,98226,439
215,2019-06-04,King,98042,439
216,2019-06-14,Skagit,98221,440
217,2019-06-11,King,98030,440
218,2019-06-17,Whatcom,98229,441
219,2019-06-28,King,98004,442
220,2019-07-11,Grays Harbor,98541,444
