,DOL Transaction Date,County,Postal Code,week
0,2011-04-19,King,98040,15
1,2011-06-08,Snohomish,98296,22
2,2011-09-27,King,98115,38
3,2011-10-11,King,98198,40
4,2011-10-31,Snohomish,98026,43
5,2011-11-22,King,98027,46
6,2011-11-22,King,98104,46
7,2012-01-12,King,98003,53
8,2012-10-16,King,98116,93
9,2012-10-26,Clallam,98382,94
10,2012-11-28,King,98199,99
11,2013-01-02,King,98115,104
12,2013-01-08,King,98029,105
13,2013-01-10,King,98029,105
14,2013-01-25,King,98052,107
15,2013-02-01,King,98058,108
16,2013-01-30,King,98102,108
17,2013-02-27,Whatcom,98225,112
18,2013-05-02,King,98006,121
19,2013-05-20,King,98074,124
20,2013-05-21,Kitsap,98366,124
21,2013-05-23,King,98052,124
22,2013-06-11,Kitsap,98312,127
23,2013-06-17,Pierce,98374,128
24,2013-06-28,King,98027,129
25,2013-08-16,King,98006,136
26,2013-09-21,Snohomish,98275,142
27,2013-10-09,King,98006,144
28,2013-10-15,King,98177,145
29,2013-10-15,Clark,98664,145
30,2014-01-07,King,98029,157
31,2014-01-07,King,98052,157
32,2014-01-24,Pierce,98390,159
33,2014-02-20,King,98008,163
34,2014-04-26,Cowlitz,98674,173
35,2014-05-22,Snohomish,98012,176
36,2014-06-03,Snohomish,98208,178
37,2014-06-13,King,98136,179
38,2014-07-09,King,98053,183
39,2014-10-29,King,98034,199
40,2014-11-04,Thurston,98516,200
41,2014-11-06,King,98005,200
42,2014-11-19,Mason,98584,202
43,2014-12-16,King,98058,206
44,2014-12-23,King,98031,207
45,2015-02-13,King,98024,214
46,2015-03-06,King,98144,217
47,2015-03-24,King,98053,220
48,2015-04-03,Pierce,98374,221
49,2015-04-17,King,98072,223
50,2015-06-30,King,98104,234
51,2015-07-14,King,98034,236
52,2015-07-14,Snohomish,98270,236
53,2015-07-14,King,98006,236
54,2015-07-29,King,98105,238
55,2015-08-27,Kitsap,98110,242
56,2015-10-02,King,98177,247
57,2015-10-02,King,98052,247
58,2015-10-06,King,98052,248
59,2015-10-21,King,98092,250
60,2015-11-25,King,98155,255
61,2015-12-18,King,98109,258
62,2015-12-31,King,98119,260
63,2015-12-30,King,98029,260
64,2016-01-19,Skamania,98671,263
65,2016-01-20,King,98040,263
66,2016-02-16,King,98126,267
67,2016-02-24,King,98121,268
68,2016-04-15,King,98011,275
69,2016-05-03,Pierce,98409,278
70,2016-06-28,King,98004,286
71,2016-07-05,King,98125,287
72,2016-07-06,King,98033,287
73,2016-07-11,King,98072,288
74,2016-07-18,King,98112,289
75,2016-08-04,King,98074,291
76,2016-08-02,Kitsap,98346,291
77,2016-09-21,Thurston,98502,298
78,2016-09-28,King,98144,299
79,2016-10-06,Spokane,99207,300
80,2016-10-26,King,98006,303
81,2016-11-10,King,98004,305
82,2016-11-08,King,98001,305
83,2016-12-30,King,98002,312
84,2016-12-29,King,98007,312
85,2017-01-04,Pierce,98466,313
86,2017-01-25,King,98001,316
87,2017-02-08,King,98121,318
88,2017-02-21,Pierce,98321,320
89,2017-03-02,King,98027,321
90,2017-03-17,King,98008,323
91,2017-04-06,King,98006,326
92,2017-04-10,King,98177,327
93,2017-04-11,Snohomish,98012,327
94,2017-04-17,Pierce,98402,328
95,2017-04-26,King,98103,329
96,2017-05-15,King,98028,332
97,2017-06-01,King,98033,334
98,2017-06-09,King,98007,335
99,2017-06-14,King,98052,336
100,2017-06-15,Pierce,98374,336
101,2017-06-12,Mason,98584,336
102,2017-06-27,King,98033,338
103,2017-06-28,King,98052,338
104,2017-07-07,King,98075,339
105,2017-07-06,Pierce,98391,339
106,2017-08-16,Pierce,98390,345
107,2017-08-16,Clark,98665,345
108,2017-08-24,Stevens,99026,346
109,2017-09-14,San Juan,98250,349
110,2017-09-13,King,98092,349
111,2017-09-21,King,98038,350
112,2017-09-26,King,98144,351
113,2017-10-05,King,98008,352
114,2017-10-17,King,98039,354
115,2017-10-26,Spokane,99218,355
116,2017-11-13,King,98032,358
117,2017-11-29,King,98040,360
118,2018-01-03,Cowlitz,98674,365
119,2018-01-31,Clark,98607,369
120,2018-02-02,King,98105,369
121,2018-03-14,Clark,98685,375
122,2018-03-28,Pierce,98354,377
123,2018-03-29,Snohomish,98208,377
124,2018-04-06,King,98040,378
125,2018-04-09,Pierce,98444,379
126,2018-04-16,Skagit,98221,380
127,2018-04-18,King,98112,380
128,2018-05-01,Whatcom,98225,382
129,2018-05-10,King,98033,383
130,2018-05-14,King,98107,384
131,2018-05-25,King,98053,385
132,2018-05-23,King,98116,385
133,2018-05-21,King,98178,385
134,2018-05-25,Whatcom,98248,385
135,2018-05-21,King,98045,385
136,2018-05-31,King,98075,386
137,2018-06-07,King,98106,387
138,2018-06-05,King,98027,387
139,2018-06-07,Thurston,98512,387
