,DOL Transaction Date,County,Postal Code,week
0,2011-05-19,King,98144,19
1,2011-06-22,King,98072,24
2,2011-10-21,Spokane,99224,41
3,2011-11-09,Clark,98664,44
4,2012-02-03,King,98166,56
5,2012-06-07,King,98199,74
6,2012-06-29,Kitsap,98370,77
7,2012-06-28,King,98122,77
8,2012-09-28,King,98116,90
9,2012-10-25,King,98074,94
10,2012-10-31,King,98027,95
11,2013-01-17,Clallam,98382,106
12,2013-01-30,Snohomish,98072,108
13,2013-03-26,King,98023,116
14,2013-04-15,Yakima,98942,119
15,2013-04-30,King,98033,121
16,2013-05-31,King,98166,125
17,2013-06-25,King,98052,129
18,2013-06-28,King,98118,129
19,2013-07-05,King,98040,130
20,2013-07-19,King,98117,132
21,2013-07-25,Skagit,98221,133
22,2013-09-16,King,98040,141
23,2013-09-26,King,98056,142
24,2013-10-07,Snohomish,98037,144
25,2013-12-06,Snohomish,98223,152
26,2013-12-19,Snohomish,98012,154
27,2014-01-31,Snohomish,98021,160
28,2014-02-11,King,98092,162
29,2014-02-13,King,98115,162
30,2014-02-19,King,98052,163
31,2014-03-19,Snohomish,98037,167
32,2014-03-27,Pierce,98374,168
33,2014-04-25,King,98034,172
34,2014-04-28,Douglas,98802,173
35,2014-05-06,Douglas,98802,174
36,2014-05-28,Thurston,98513,177
37,2014-06-13,King,98199,179
38,2014-06-16,Pierce,98375,180
39,2014-07-25,King,98006,185
40,2014-07-31,King,98112,186
41,2014-08-06,Thurston,98502,187
42,2014-08-28,Jefferson,98365,190
43,2014-09-12,King,98034,192
44,2014-09-23,King,98105,194
45,2014-10-10,King,98052,196
46,2014-10-21,King,98166,198
47,2014-10-22,King,98115,198
48,2014-11-13,Snohomish,98290,201
49,2014-11-20,Snohomish,98021,202
50,2014-12-08,Mason,98524,205
51,2014-12-22,King,98027,207
52,2015-01-06,King,98119,209
53,2015-02-17,King,98155,215
54,2015-03-03,Clark,98685,217
55,2015-03-05,King,98107,217
56,2015-03-24,King,98072,220
57,2015-03-26,King,98042,220
58,2015-04-24,King,98022,224
59,2015-05-12,Clark,98685,227
60,2015-05-21,King,98144,228
61,2015-06-08,King,98052,231
62,2015-06-24,Clark,98671,233
63,2015-07-30,King,98005,238
64,2015-08-21,King,98198,241
65,2015-09-01,King,98103,243
66,2015-09-10,King,98106,244
67,2015-12-08,Snohomish,98201,257
68,2015-12-16,King,98133,258
69,2015-12-28,King,98058,260
70,2016-02-04,King,98019,265
71,2016-02-02,King,98102,265
72,2016-03-25,Kitsap,98370,272
73,2016-04-08,King,98007,274
74,2016-04-11,King,98103,275
75,2016-04-28,King,98125,277
76,2016-05-18,King,98053,280
77,2016-05-31,Snohomish,98026,282
78,2016-06-22,Snohomish,98258,285
79,2016-06-24,Thurston,98513,285
80,2016-07-07,King,98075,287
81,2016-07-14,Snohomish,98208,288
82,2016-07-26,Pierce,98374,290
83,2016-07-26,Snohomish,98290,290
84,2016-07-29,Pierce,98374,290
85,2016-08-04,King,98053,291
86,2016-08-02,Skagit,98274,291
87,2016-08-10,King,98106,292
88,2016-08-25,Snohomish,98204,294
89,2016-09-08,King,98075,296
90,2016-09-19,Clark,98607,298
91,2016-09-27,King,98004,299
92,2016-09-29,King,98034,299
93,2016-09-29,Snohomish,98037,299
94,2016-10-18,King,98122,302
95,2016-10-18,King,98126,302
96,2016-12-15,King,98074,310
97,2017-01-03,King,98125,313
98,2017-01-17,King,98058,315
99,2017-01-17,King,98042,315
100,2017-01-27,Snohomish,98275,316
101,2017-01-24,King,98074,316
102,2017-02-03,Clallam,98382,317
103,2017-02-07,King,98155,318
104,2017-02-14,King,98116,319
105,2017-03-02,King,98052,321
106,2017-03-15,Snohomish,98270,323
107,2017-03-28,King,98055,325
108,2017-04-04,King,98052,326
109,2017-04-14,King,98075,327
110,2017-05-12,Whatcom,98229,331
111,2017-05-18,Thurston,98501,332
112,2017-07-11,King,98033,340
113,2017-07-20,Spokane,99037,341
114,2017-07-17,King,98177,341
115,2017-07-18,Kitsap,98311,341
116,2017-07-28,Kitsap,98367,342
117,2017-07-27,King,98112,342
118,2017-08-23,Lincoln,99134,346
119,2017-09-08,Clark,98684,348
120,2017-09-13,Kitsap,98367,349
121,2017-09-13,King,98106,349
122,2017-09-19,King,98007,350
123,2017-10-27,San Juan,98245,355
124,2017-11-13,Clark,98685,358
125,2017-12-07,King,98053,361
126,2017-12-05,Clark,98660,361
127,2017-12-18,Clark,98663,363
128,2017-12-18,Thurston,98501,363
129,2017-12-29,King,98002,364
130,2017-12-28,Snohomish,98258,364
131,2018-01-11,Thurston,98512,366
132,2018-01-26,King,98053,368
133,2018-02-15,King,98122,371
134,2018-03-13,King,98034,375
135,2018-04-12,King,98075,379
136,2018-05-03,Mason,98584,382
137,2018-05-14,Snohomish,98012,384
138,2018-05-25,King,98051,385
139,2018-06-14,Skagit,98273,388
140,2018-07-03,Yakima,98908,391
141,2018-07-10,King,98055,392
142,2018-07-18,King,98074,393
143,2018-07-17,Snohomish,98036,393
144,2018-08-24,Klickitat,98620,398
145,2018-09-14,King,98136,401
146,2018-09-28,King,98198,403
147,2018-10-05,King,98053,404
148,2018-10-02,Snohomish,98036,404
149,2018-10-11,Chelan,98828,405
150,2018-10-08,King,98006,405
151,2018-10-11,King,98034,405
152,2018-10-18,Okanogan,98814,406
153,2018-10-17,King,98065,406
154,2018-10-23,King,98052,407
155,2018-11-02,King,98053,408
156,2018-11-01,King,98006,408
157,2018-11-07,Jefferson,98368,409
158,2018-11-08,King,98006,409
159,2018-11-15,King,98115,410
160,2018-11-13,King,98075,410
161,2018-11-21,Snohomish,98012,411
162,2018-11-28,King,98144,412
163,2018-11-29,Jefferson,98368,412
164,2018-11-28,Whitman,99163,412
