,DOL Transaction Date,County,Postal Code,week
0,2011-05-24,King,98052,20
1,2011-06-30,King,98104,25
2,2011-10-26,King,98126,42
3,2011-11-23,Snohomish,98275,46
4,2012-01-11,Snohomish,98258,53
5,2012-01-25,Pierce,98391,55
6,2012-04-05,Clallam,98362,65
7,2012-04-26,King,98074,68
8,2012-05-16,Grant,98823,71
9,2012-05-14,King,98104,71
10,2012-05-30,King,98056,73
11,2012-07-06,King,98059,78
12,2012-07-05,King,98034,78
13,2012-07-10,Snohomish,98012,79
14,2012-08-23,Kitsap,98110,85
15,2012-09-25,King,98039,90
16,2012-10-09,Mason,98584,92
17,2012-10-23,King,98040,94
18,2012-11-02,King,98122,95
19,2012-11-08,King,98115,96
20,2012-11-14,King,98116,97
21,2012-12-05,King,98059,100
22,2012-12-14,Clark,98674,101
23,2013-01-11,Snohomish,98036,105
24,2013-01-10,King,98112,105
25,2013-01-18,Pierce,98092,106
26,2013-04-12,Snohomish,98258,118
27,2013-04-11,King,98109,118
28,2013-04-09,King,98011,118
29,2013-04-18,King,98052,119
30,2013-05-07,Skagit,98221,122
31,2013-05-07,Snohomish,98271,122
32,2013-05-07,Pierce,98333,122
33,2013-05-31,King,98006,125
34,2013-07-10,King,98028,131
35,2013-07-26,Mason,98524,133
36,2013-08-14,Snohomish,98258,136
37,2013-08-22,Whitman,99161,137
38,2013-09-25,King,98033,142
39,2013-10-03,King,98010,143
40,2013-10-10,Kitsap,98110,144
41,2013-11-19,King,98107,150
42,2013-12-06,Spokane,99201,152
43,2013-12-18,King,98102,154
44,2014-02-03,King,98052,161
45,2014-02-19,King,98053,163
46,2014-02-25,Pierce,98391,164
47,2014-03-20,King,98105,167
48,2014-03-27,Kitsap,98340,168
49,2014-05-15,Pierce,98335,175
50,2014-05-14,King,98052,175
51,2014-05-21,Whatcom,98226,176
52,2014-06-02,Spokane,99208,178
53,2014-06-18,Clark,98607,180
54,2014-07-03,Thurston,98501,182
55,2014-07-08,King,98115,183
56,2014-07-29,King,98042,186
57,2014-08-05,Pierce,98409,187
58,2014-08-05,King,98075,187
59,2014-08-14,King,98029,188
60,2014-09-03,Clark,98661,191
61,2014-09-23,King,98019,194
62,2014-10-29,Douglas,98802,199
63,2014-11-12,King,98074,201
64,2014-11-17,Thurston,98501,202
65,2014-12-09,King,98117,205
66,2015-01-13,Clark,98664,210
67,2015-01-29,King,98103,212
68,2015-02-03,Snohomish,98012,213
69,2015-02-11,King,98107,214
70,2015-03-05,Whatcom,98264,217
71,2015-03-13,King,98007,218
72,2015-04-09,Kitsap,98392,222
73,2015-05-12,Clark,98684,227
74,2015-06-05,King,98105,230
75,2015-06-23,Skagit,98221,233
76,2015-06-30,King,98103,234
77,2015-07-17,King,98116,236
78,2015-07-14,King,98040,236
79,2015-07-23,King,98155,237
80,2015-07-31,Thurston,98503,238
81,2015-08-17,King,98052,241
82,2015-09-04,Snohomish,98020,243
83,2015-09-17,King,98008,245
84,2015-09-17,King,98053,245
85,2015-10-07,King,98006,248
86,2015-10-16,Pierce,98418,249
87,2015-11-13,Pierce,98444,253
88,2015-11-10,Thurston,98513,253
89,2015-12-09,Thurston,98501,257
90,2016-01-22,Pierce,98349,263
91,2016-01-19,Clark,98684,263
92,2016-01-29,Mason,98546,264
93,2016-03-07,King,98004,270
94,2016-03-18,King,98004,271
95,2016-04-14,Whatcom,98226,275
96,2016-06-15,Skagit,98221,284
97,2016-06-22,Kitsap,98312,285
98,2016-06-22,King,98112,285
99,2016-07-01,Klickitat,98672,286
100,2016-07-29,King,98122,290
101,2016-07-25,King,98115,290
102,2016-08-04,King,98033,291
103,2016-08-18,Snohomish,98203,293
104,2016-09-23,Island,98239,298
105,2016-09-19,King,98022,298
106,2016-09-23,King,98122,298
107,2016-09-28,King,98042,299
108,2016-09-28,Chelan,98801,299
109,2016-10-07,King,98052,300
110,2016-11-04,Snohomish,98296,304
111,2016-10-31,King,98075,304
112,2016-11-16,Clallam,98382,306
113,2016-11-22,Snohomish,98026,307
114,2016-12-06,King,98074,309
115,2016-12-07,Spokane,99212,309
116,2016-12-30,Snohomish,98021,312
117,2016-12-28,Stevens,99148,312
118,2017-01-04,King,98075,313
119,2017-01-20,King,98006,315
120,2017-01-19,King,98052,315
121,2017-01-31,King,98027,317
122,2017-02-10,King,98074,318
123,2017-02-14,Snohomish,98012,319
124,2017-02-15,King,98109,319
125,2017-03-08,King,98112,322
126,2017-03-16,King,98033,323
127,2017-03-22,King,98005,324
128,2017-03-31,Snohomish,98296,325
129,2017-04-14,Clark,98684,327
130,2017-05-19,King,98092,332
131,2017-05-24,King,98198,333
132,2017-05-23,Skagit,98221,333
133,2017-05-30,King,98006,334
134,2017-06-07,King,98125,335
135,2017-06-21,Thurston,98506,337
136,2017-06-19,Kitsap,98310,337
137,2017-06-22,Pierce,98387,337
138,2017-06-29,King,98006,338
139,2017-07-11,Clark,98682,340
140,2017-07-13,Clark,98682,340
141,2017-07-21,King,98104,341
142,2017-07-26,King,98052,342
143,2017-08-23,Kitsap,98392,346
144,2017-08-23,King,98102,346
145,2017-09-01,King,98056,347
146,2017-09-12,Pierce,98332,349
147,2017-09-14,King,98053,349
148,2017-09-15,Skagit,98273,349
149,2017-09-26,King,98034,351
150,2017-09-28,King,98177,351
151,2017-12-05,King,98004,361
152,2017-12-20,Pierce,98406,363
153,2018-01-11,King,98005,366
154,2018-01-09,Benton,99352,366
155,2018-01-08,King,98188,366
156,2018-01-19,King,98105,367
157,2018-01-22,King,98103,368
158,2018-02-15,King,98040,371
159,2018-03-23,King,98199,376
160,2018-03-21,Whatcom,98225,376
161,2018-03-22,Benton,99338,376
162,2018-04-06,King,98125,378
163,2018-04-10,Benton,99337,379
164,2018-04-10,King,98001,379
165,2018-05-10,Pierce,98375,383
166,2018-05-11,Mason,98584,383
167,2018-05-23,King,98040,385
168,2018-06-01,King,98104,386
169,2018-05-31,Thurston,98516,386
170,2018-06-01,King,98004,386
171,2018-06-07,King,98065,387
172,2018-06-08,King,98052,387
173,2018-06-28,Snohomish,98012,390
174,2018-07-05,Snohomish,98258,391
175,2018-07-18,King,98008,393
176,2018-07-24,King,98004,394
177,2018-07-25,Skagit,98221,394
178,2018-08-16,Pierce,98092,397
179,2018-08-14,King,98136,397
180,2018-08-17,King,98027,397
181,2018-08-30,King,98033,399
182,2018-08-29,King,98028,399
183,2018-09-12,King,98188,401
184,2018-09-12,King,98006,401
185,2018-09-27,Spokane,99207,403
186,2018-09-26,King,98007,403
187,2018-10-03,Pierce,98407,404
188,2018-10-11,King,98040,405
189,2018-10-10,Clark,98642,405
190,2018-10-12,Clark,98661,405
191,2018-10-23,Snohomish,98270,407
192,2018-11-05,King,98074,409
193,2018-11-05,Cowlitz,98625,409
194,2018-11-08,King,98029,409
195,2018-11-15,Whatcom,98225,410
196,2018-11-30,King,98056,412
197,2018-12-14,Clark,98685,414
198,2018-12-12,King,98115,414
199,2018-12-18,King,98033,415
200,2018-12-18,King,98112,415
201,2018-12-20,Kitsap,98340,415
202,2019-01-11,King,98199,418
203,2019-01-10,King,98008,418
204,2019-01-09,King,98005,418
205,2019-01-17,King,98033,419
206,2019-01-29,King,98121,421
207,2019-01-30,Pierce,98321,421
208,2019-02-07,Snohomish,98012,422
209,2019-02-06,King,98177,422
210,2019-02-14,Chelan,98847,423
211,2019-02-20,King,98040,424
212,2019-02-26,King,98074,425
213,2019-02-28,King,98112,425
214,2019-02-26,Douglas,98802,425
215,2019-03-05,Yakima,98908,426
216,2019-04-01,King,98040,430
217,2019-04-02,King,98040,430
218,2019-04-10,Spokane,99223,431
219,2019-04-15,Clark,98665,432
220,2019-04-16,King,98074,432
221,2019-05-10,King,98119,435
222,2019-05-15,King,98116,436
223,2019-05-15,King,98004,436
224,2019-05-21,King,98030,437
225,2019-05-24,King,98007,437
226,2019-06-12,King,98033,440
227,2019-06-21,King,98155,441
228,2019-06-20,Clark,98682,441
229,2019-06-18,King,98074,441
230,2019-06-26,King,98125,442
231,2019-07-10,Snohomish,98012,444
232,2019-07-18,King,98075,445
233,2019-07-17,King,98118,445
234,2019-07-17,Snohomish,98275,445
235,2019-07-24,King,98034,446
236,2019-07-26,King,98007,446
237,2019-08-16,King,98074,449
238,2019-08-23,Clallam,98382,450
239,2019-08-28,King,98116,451
240,2019-09-05,King,98027,452
241,2019-09-06,Snohomish,98292,452
242,2019-09-10,King,98105,453
243,2019-09-17,King,98006,454
244,2019-09-19,King,98144,454
245,2019-09-27,King,98072,455
246,2019-10-01,King,98136,456
247,2019-10-02,King,98104,456
248,2019-10-07,King,98052,457
249,2019-10-23,King,98029,459
250,2019-10-25,King,98117,459
251,2019-11-20,Skagit,98221,463
252,2019-12-05,Thurston,98501,465
253,2019-12-04,Benton,99354,465
254,2020-01-03,King,98007,469
255,2020-01-08,King,98034,470
256,2020-01-10,King,98029,470
257,2020-01-16,Snohomish,98021,471
