,DOL Transaction Date,County,Postal Code,week
0,2011-06-02,King,98042,21
1,2011-06-15,King,98177,23
2,2011-06-21,King,98074,24
3,2011-06-30,King,98105,25
4,2011-07-14,King,98178,27
5,2011-08-31,King,98007,34
6,2011-09-06,Snohomish,98021,35
7,2011-10-11,Clark,98607,40
8,2011-11-17,Thurston,98509,45
9,2012-03-24,Clark,98682,64
10,2012-08-15,King,98023,84
11,2012-08-30,King,98188,86
12,2012-10-12,King,98115,92
13,2012-11-08,King,98053,96
14,2013-01-04,Snohomish,98020,104
15,2013-04-12,King,98103,118
16,2013-07-18,Pierce,98371,132
17,2013-07-30,Whatcom,98264,134
18,2013-10-08,King,98004,144
19,2013-10-23,King,98065,146
20,2013-11-20,San Juan,98250,150
21,2013-11-27,King,98058,151
22,2013-12-05,Snohomish,98270,152
23,2013-12-17,Clallam,98382,154
24,2014-01-06,King,98059,157
25,2014-01-22,King,98031,159
26,2014-02-06,King,98072,161
27,2014-02-19,King,98006,163
28,2014-03-26,King,98105,168
29,2014-07-10,Kitsap,98367,183
30,2014-07-21,Pierce,98372,185
31,2014-07-29,King,98065,186
32,2014-08-07,Lewis,98531,187
33,2014-09-08,Clark,98629,192
34,2014-09-18,King,98075,193
35,2014-10-03,King,98027,195
36,2014-10-16,Snohomish,98020,197
37,2014-10-14,Whatcom,98248,197
38,2014-10-28,King,98007,199
39,2014-11-19,King,98122,202
40,2014-12-12,Snohomish,98012,205
41,2015-01-07,Skagit,98221,209
42,2015-02-03,King,98115,213
43,2015-02-02,Snohomish,98208,213
44,2015-02-23,King,98104,216
45,2015-05-06,Kitsap,98310,226
46,2015-05-20,Lincoln,99013,228
47,2015-05-28,Snohomish,98204,229
48,2015-06-11,King,98148,231
49,2015-06-10,King,98148,231
50,2015-07-14,King,98199,236
51,2015-07-30,King,98052,238
52,2015-08-13,King,98006,240
53,2015-08-18,Snohomish,98296,241
54,2015-10-19,King,98075,250
55,2015-11-19,King,98116,254
56,2015-12-09,King,98033,257
57,2016-01-05,Skagit,98273,261
58,2016-01-21,King,98122,263
59,2016-02-19,King,98109,267
60,2016-03-02,King,98117,269
61,2016-03-11,Kitsap,98367,270
62,2016-03-16,King,98058,271
63,2016-03-31,Thurston,98597,273
64,2016-04-06,King,98105,274
65,2016-04-21,Thurston,98597,276
66,2016-05-05,King,98006,278
67,2016-05-05,King,98029,278
68,2016-05-06,Snohomish,98201,278
69,2016-06-30,King,98112,286
70,2016-06-30,King,98006,286
71,2016-07-11,King,98072,288
72,2016-08-09,King,98006,292
73,2016-08-16,Pierce,98422,293
74,2016-08-16,King,98007,293
75,2016-08-18,Snohomish,98203,293
76,2016-09-07,King,98011,296
77,2016-09-14,Snohomish,98296,297
78,2016-09-27,King,98052,299
79,2016-10-05,King,98112,300
80,2016-10-06,King,98072,300
81,2016-10-13,King,98004,301
82,2016-10-12,King,98032,301
83,2016-12-02,King,98004,308
84,2017-02-02,Jefferson,98368,317
85,2017-02-02,Kitsap,98370,317
86,2017-02-07,Snohomish,98296,318
87,2017-02-10,King,98126,318
88,2017-02-27,Kitsap,98312,321
89,2017-03-09,King,98059,322
90,2017-03-07,Pierce,98338,322
91,2017-03-16,Spokane,99006,323
92,2017-03-29,Spokane,99203,325
93,2017-04-20,King,98031,328
94,2017-04-20,Snohomish,98208,328
95,2017-04-15,Kitsap,98367,328
96,2017-04-26,King,98058,329
97,2017-05-03,King,98034,330
98,2017-05-04,Snohomish,98208,330
99,2017-05-08,King,98119,331
100,2017-05-10,Skagit,98284,331
101,2017-05-23,Snohomish,98012,333
102,2017-06-07,King,98004,335
103,2017-06-16,Pierce,98335,336
104,2017-06-28,Spokane,99223,338
105,2017-06-28,Thurston,98516,338
106,2017-07-28,King,98055,342
107,2017-07-31,King,98006,343
108,2017-09-07,King,98075,348
109,2017-09-27,King,98059,351
110,2017-09-25,King,98075,351
111,2017-10-05,King,98166,352
112,2017-10-02,Clark,98661,352
113,2017-10-13,King,98052,353
114,2017-10-20,Pierce,98338,354
115,2017-10-27,King,98103,355
116,2017-11-06,King,98072,357
117,2017-11-16,King,98040,358
118,2017-12-22,Benton,99352,363
119,2017-12-20,King,98136,363
120,2017-12-27,King,98042,364
121,2017-12-27,Chelan,98801,364
122,2018-01-17,King,98034,367
123,2018-02-02,Snohomish,98294,369
