,DOL Transaction Date,County,Postal Code,week
0,2011-07-14,King,98103,27
1,2012-01-18,King,98033,54
2,2012-02-29,Clark,98607,60
3,2012-06-13,Benton,99353,75
4,2012-09-06,Thurston,98502,87
5,2012-09-11,King,98166,88
6,2012-10-17,Kitsap,98367,93
7,2012-11-13,Pierce,98466,97
8,2013-02-13,King,98029,110
9,2013-02-19,Pierce,98329,111
10,2013-02-28,King,98004,112
11,2013-03-15,King,98074,114
12,2013-03-15,King,98027,114
13,2013-03-20,King,98116,115
14,2013-03-28,King,98014,116
15,2013-04-12,King,98004,118
16,2013-04-19,Pierce,98407,119
17,2013-04-16,Clallam,98382,119
18,2013-04-24,King,98144,120
19,2013-04-22,King,98146,120
20,2013-06-06,Pierce,98406,126
21,2013-06-04,King,98104,126
22,2013-06-27,King,98198,129
23,2013-07-03,King,98107,130
24,2013-07-02,King,98177,130
25,2013-08-29,Kitsap,98367,138
26,2013-09-25,King,98042,142
27,2013-10-15,Clark,98661,145
28,2013-10-15,King,98102,145
29,2013-11-19,Clark,98664,150
30,2013-11-19,King,98102,150
31,2013-12-12,Pierce,98374,153
32,2013-12-31,Snohomish,98275,156
33,2014-01-14,Spokane,99207,158
34,2014-01-22,King,98031,159
35,2014-02-06,Pierce,98498,161
36,2014-02-20,King,98052,163
37,2014-02-19,King,98059,163
38,2014-03-04,Pierce,98332,165
39,2014-05-22,Snohomish,98201,176
40,2014-06-13,King,98103,179
41,2014-06-19,Pierce,98402,180
42,2014-06-27,Mason,98584,181
43,2014-06-25,King,98065,181
44,2014-08-01,King,98008,186
45,2014-08-04,Snohomish,98258,187
46,2014-08-26,King,98104,190
47,2014-09-12,King,98004,192
48,2014-09-17,Thurston,98513,193
49,2014-10-14,King,98155,197
50,2014-10-29,King,98103,199
51,2014-11-26,King,98115,203
52,2014-11-25,King,98004,203
53,2014-12-05,King,98031,204
54,2014-12-11,King,98003,205
55,2014-12-26,Spokane,99203,207
56,2015-01-06,King,98125,209
57,2015-01-15,King,98033,210
58,2015-01-16,Benton,99336,210
59,2015-03-27,Clark,98642,220
60,2015-03-31,Pierce,98424,221
61,2015-04-10,Pierce,98406,222
62,2015-06-05,King,98072,230
63,2015-06-17,King,98075,232
64,2015-06-18,King,98053,232
65,2015-06-16,King,98112,232
66,2015-07-02,Pierce,98374,234
67,2015-07-14,King,98005,236
68,2015-07-20,Pierce,98467,237
69,2015-08-11,King,98042,240
70,2015-08-21,Snohomish,98275,241
71,2015-08-27,Pierce,98335,242
72,2015-08-27,King,98177,242
73,2015-09-25,Whatcom,98230,246
