,DOL Transaction Date,County,Postal Code,week
0,2011-06-16,King,98104,23
1,2011-06-17,Pierce,98403,23
2,2011-08-29,King,98104,34
3,2011-08-31,King,98008,34
4,2011-09-19,Pierce,98465,37
5,2012-03-30,Pierce,98375,64
6,2012-05-09,King,98107,70
7,2012-08-09,Snohomish,98201,83
8,2012-09-14,Clark,98685,88
9,2012-10-08,Pierce,98374,92
10,2012-12-14,Kitsap,98383,101
11,2013-01-15,Whatcom,98225,106
12,2013-03-14,Douglas,98802,114
13,2013-03-21,Snohomish,98290,115
14,2013-04-08,Pierce,98092,118
15,2013-04-12,King,98118,118
16,2013-05-02,King,98112,121
17,2013-05-23,Whatcom,98225,124
18,2013-06-06,King,98053,126
19,2013-06-17,Pierce,98374,128
20,2013-08-15,Pierce,98409,136
21,2013-10-01,Snohomish,98072,143
22,2013-10-08,King,98166,144
23,2013-10-08,King,98056,144
24,2013-10-29,King,98004,147
25,2013-11-27,King,98112,151
26,2013-12-11,King,98119,153
27,2014-01-03,Clark,98642,156
28,2014-01-17,King,98006,158
29,2014-04-04,King,98028,169
30,2014-06-16,King,98006,180
31,2014-07-29,Pierce,98332,186
32,2014-07-29,Whatcom,98240,186
33,2014-07-30,King,98065,186
34,2014-08-05,Yakima,98908,187
35,2014-09-10,King,98125,192
36,2014-09-25,Pierce,98360,194
37,2014-09-25,King,98040,194
38,2014-09-29,King,98052,195
39,2014-10-29,King,98039,199
40,2014-12-17,King,98134,206
41,2014-12-23,King,98052,207
42,2014-12-22,Kitsap,98110,207
43,2015-01-06,King,98118,209
44,2015-01-07,King,98107,209
45,2015-01-29,King,98112,212
46,2015-03-10,Pierce,98388,218
47,2015-03-17,Whatcom,98264,219
48,2015-03-26,King,98058,220
49,2015-04-30,Jefferson,98368,225
50,2015-05-08,King,98008,226
51,2015-06-11,King,98148,231
52,2015-06-11,King,98148,231
53,2015-07-10,Pierce,98387,235
54,2015-07-14,Thurston,98589,236
55,2015-07-24,Clark,98685,237
56,2015-07-31,Chelan,98801,238
57,2015-08-07,Pierce,98422,239
58,2015-08-14,Pierce,98424,240
59,2015-08-08,Kitsap,98380,240
60,2015-10-21,King,98052,250
61,2015-11-09,King,98004,253
62,2015-11-10,King,98117,253
63,2015-12-18,King,98134,258
64,2016-01-11,King,98188,262
65,2016-01-13,Clark,98665,262
66,2016-01-22,King,98115,263
67,2016-02-17,King,98029,267
68,2016-03-04,King,98075,269
69,2016-04-01,Pierce,98402,273
70,2016-04-08,King,98004,274
71,2016-05-10,King,98075,279
72,2016-05-10,Clark,98629,279
73,2016-06-10,Snohomish,98037,283
74,2016-06-17,King,98105,284
75,2016-06-22,King,98074,285
76,2016-07-15,King,98034,288
77,2016-07-14,King,98029,288
78,2016-08-01,King,98112,291
79,2016-08-02,Thurston,98579,291
80,2016-08-16,King,98008,293
81,2016-08-30,Clark,98662,295
82,2016-09-13,Thurston,98512,297
83,2016-09-28,King,98052,299
84,2016-09-30,King,98059,299
85,2016-10-12,King,98005,301
86,2016-10-18,King,98004,302
87,2016-10-26,Snohomish,98275,303
88,2016-12-19,King,98117,311
89,2017-01-06,King,98109,313
90,2017-01-19,Clark,98607,315
91,2017-01-18,King,98166,315
92,2017-02-02,King,98112,317
93,2017-02-02,King,98023,317
94,2017-02-09,King,98003,318
95,2017-02-15,Pierce,98375,319
96,2017-03-03,King,98004,321
97,2017-04-03,King,98056,326
98,2017-04-04,King,98074,326
99,2017-04-11,Kitsap,98392,327
100,2017-04-15,Kitsap,98346,328
101,2017-05-05,King,98133,330
102,2017-05-22,King,98027,333
103,2017-06-05,King,98034,335
104,2017-06-08,King,98004,335
105,2017-06-03,King,98118,335
106,2017-06-05,Thurston,98501,335
107,2017-06-14,King,98115,336
108,2017-06-15,Pierce,98402,336
109,2017-06-20,Kitsap,98370,337
110,2017-06-27,King,98042,338
111,2017-07-10,King,98115,340
112,2017-07-13,Clallam,98363,340
113,2017-07-13,Snohomish,98290,340
114,2017-07-13,Douglas,98802,340
115,2017-07-20,Pierce,98387,341
116,2017-08-09,King,98105,344
117,2017-08-09,King,98075,344
118,2017-08-10,Snohomish,98258,344
119,2017-09-08,King,98122,348
120,2017-09-13,King,98133,349
121,2017-09-15,Pierce,98387,349
122,2017-09-19,King,98166,350
123,2017-09-22,Clark,98683,350
124,2017-10-04,King,98109,352
125,2017-10-03,King,98072,352
126,2017-11-02,Mason,98584,356
127,2017-11-09,Pierce,98391,357
128,2017-11-08,King,98023,357
129,2017-12-07,Clark,98682,361
130,2017-12-12,King,98022,362
131,2017-12-12,King,98053,362
132,2018-01-10,Island,98239,366
133,2018-01-18,King,98052,367
134,2018-01-25,Jefferson,98365,368
135,2018-02-07,King,98059,370
136,2018-02-14,Snohomish,98203,371
137,2018-03-07,Benton,99336,374
138,2018-03-21,King,98074,376
139,2018-03-21,Island,98260,376
140,2018-03-23,King,98033,376
141,2018-03-29,King,98134,377
142,2018-03-28,King,98166,377
143,2018-04-03,King,98004,378
144,2018-04-06,King,98004,378
145,2018-04-05,Clark,98662,378
146,2018-04-03,Kitsap,98110,378
147,2018-05-04,Whatcom,98229,382
148,2018-05-09,King,98052,383
149,2018-05-10,King,98005,383
150,2018-05-10,King,98008,383
151,2018-05-23,King,98065,385
152,2018-05-30,King,98033,386
153,2018-06-08,Jefferson,98368,387
154,2018-06-08,Spokane,99006,387
155,2018-07-06,Thurston,98503,391
156,2018-07-11,King,98072,392
157,2018-07-13,King,98074,392
158,2018-07-27,Clark,98607,394
159,2018-08-03,King,98029,395
160,2018-08-21,King,98052,398
161,2018-09-06,King,98148,400
162,2018-09-10,King,98104,401
163,2018-09-19,King,98005,402
164,2018-09-24,Spokane,99019,403
165,2018-10-03,Snohomish,98208,404
166,2018-10-11,King,98053,405
167,2018-10-19,King,98116,406
168,2018-11-01,King,98107,408
169,2018-11-07,King,98125,409
170,2018-11-14,Whatcom,98230,410
171,2018-11-21,King,98022,411
172,2018-11-30,Snohomish,98021,412
173,2018-12-04,King,98146,413
174,2018-12-07,King,98101,413
175,2018-12-07,Snohomish,98012,413
176,2018-12-12,Okanogan,98812,414
177,2018-12-12,King,98052,414
178,2018-12-11,Benton,99350,414
179,2018-12-27,King,98115,416
180,2019-01-02,King,98106,417
181,2019-01-04,King,98121,417
182,2019-01-11,Pierce,98407,418
183,2019-01-22,Clark,98665,420
184,2019-01-24,King,98055,420
185,2019-02-07,King,98072,422
186,2019-03-28,King,98102,429
187,2019-04-26,King,98108,433
188,2019-04-23,King,98122,433
189,2019-05-03,King,98029,434
190,2019-05-03,Grays Harbor,98526,434
191,2019-05-10,Pierce,98371,435
192,2019-05-14,Pierce,98387,436
193,2019-05-14,King,98115,436
194,2019-06-18,Thurston,98502,441
195,2019-06-28,King,98109,442
196,2019-07-26,King,98045,446
197,2019-08-16,King,98052,449
198,2019-09-05,King,98059,452
199,2019-09-13,Snohomish,98012,453
200,2019-09-11,King,98074,453
201,2019-09-09,King,98106,453
202,2019-09-11,Snohomish,98258,453
203,2019-09-16,King,98118,454
204,2019-09-17,King,98121,454
205,2019-09-21,Cowlitz,98632,455
206,2019-10-02,Snohomish,98012,456
207,2019-10-02,King,98155,456
208,2019-10-03,King,98040,456
209,2019-10-05,Snohomish,98258,457
210,2019-10-18,Island,98277,458
211,2019-10-15,Chelan,98826,458
212,2019-10-31,Clark,98607,460
213,2019-11-05,King,98115,461
214,2019-11-12,King,98052,462
215,2019-11-26,King,98144,464
216,2020-01-09,King,98006,470
217,2020-01-14,King,98134,471
218,2020-01-16,King,98004,471
219,2020-01-21,King,98052,472
220,2020-01-22,King,98038,472
221,2020-01-21,King,98033,472
222,2020-01-31,King,98102,473
223,2020-01-28,King,98115,473
224,2020-02-12,Pierce,98335,475
225,2020-02-25,King,98006,477
226,2020-03-05,King,98125,478
227,2020-03-10,King,98065,479
228,2020-03-19,King,98033,480
229,2020-03-31,King,98102,482
230,2020-04-07,King,98007,483
231,2020-04-17,King,98070,484
232,2020-05-28,Walla Walla,99362,490
233,2020-05-29,King,98007,490
234,2020-05-29,Clark,98642,490
235,2020-06-05,King,98040,491
236,2020-06-26,King,98052,494
237,2020-07-14,King,98007,497
238,2020-07-23,King,98122,498
239,2020-07-23,King,98070,498
240,2020-08-06,King,98112,500
241,2020-08-20,Kitsap,98366,502
242,2020-08-20,King,98027,502
243,2020-08-25,King,98112,503
244,2020-09-11,King,98033,505
245,2020-10-07,Pierce,98406,509
246,2020-10-21,King,98075,511
247,2020-10-21,King,98031,511
248,2020-10-21,Pierce,98374,511
249,2020-10-29,Snohomish,98020,512
250,2020-11-02,Snohomish,98258,513
