,DOL Transaction Date,County,Postal Code,week
0,2011-06-14,King,98040,23
1,2011-07-07,King,98122,26
2,2011-09-29,King,98033,38
3,2012-01-11,Snohomish,98026,53
4,2012-01-27,King,98103,55
5,2012-06-27,Kitsap,98110,77
6,2012-08-21,Kitsap,98342,85
7,2012-10-31,King,98052,95
8,2012-12-06,Pierce,98387,100
9,2012-12-10,Snohomish,98290,101
10,2013-01-10,Snohomish,98026,105
11,2013-01-17,King,98052,106
12,2013-02-20,King,98112,111
13,2013-03-29,Kitsap,98312,116
14,2013-04-16,King,98004,119
15,2013-04-17,King,98072,119
16,2013-04-19,Pierce,98466,119
17,2013-05-21,King,98125,124
18,2013-05-30,King,98028,125
19,2013-06-07,King,98144,126
20,2013-06-05,Snohomish,98258,126
21,2013-07-01,King,98136,130
22,2013-08-23,Franklin,99301,137
23,2013-09-20,Kitsap,98110,141
24,2013-09-18,King,98010,141
25,2013-10-08,King,98053,144
26,2013-10-09,Kitsap,98340,144
27,2013-11-04,King,98004,148
28,2013-11-19,King,98070,150
29,2014-01-08,Kitsap,98366,157
30,2014-01-14,Spokane,99207,158
31,2014-02-05,Thurston,98502,161
32,2014-03-24,King,98034,168
33,2014-04-08,Whatcom,98225,170
34,2014-04-24,King,98118,172
35,2014-06-12,Pierce,98328,179
36,2014-06-26,King,98033,181
37,2014-07-22,King,98199,185
38,2014-07-29,Snohomish,98296,186
39,2014-08-22,King,98002,189
40,2014-08-28,King,98109,190
41,2014-08-26,King,98027,190
42,2014-09-19,King,98040,193
43,2014-09-22,Lewis,98593,194
44,2014-10-31,Clark,98604,199
45,2014-11-12,King,98045,201
46,2014-11-18,Chelan,98801,202
47,2014-12-11,King,98070,205
48,2014-12-22,King,98007,207
49,2015-01-14,King,98053,210
50,2015-01-12,King,98075,210
51,2015-01-28,King,98053,212
52,2015-03-31,King,98004,221
53,2015-05-12,Kitsap,98366,227
54,2015-05-15,Spokane,99016,227
55,2015-05-21,Clark,98665,228
56,2015-05-21,Whatcom,98226,228
57,2015-06-10,King,98034,231
58,2015-07-13,Snohomish,98270,236
59,2015-07-15,King,98052,236
60,2015-09-18,King,98075,245
61,2015-10-12,King,98075,249
62,2015-11-13,King,98109,253
63,2015-11-13,Snohomish,98296,253
64,2015-12-03,Island,98260,256
65,2015-12-23,Pierce,98403,259
66,2016-01-02,Clark,98642,261
67,2016-01-13,Clark,98665,262
68,2016-01-19,Pierce,98391,263
69,2016-02-03,King,98115,265
70,2016-02-19,King,98008,267
71,2016-02-24,King,98104,268
72,2016-03-16,King,98103,271
73,2016-04-06,King,98029,274
74,2016-04-20,Whatcom,98229,276
75,2016-05-13,King,98134,279
76,2016-06-30,Snohomish,98012,286
77,2016-07-14,King,98144,288
78,2016-08-06,Kitsap,98366,292
79,2016-09-09,Pierce,98332,296
80,2016-09-07,King,98106,296
81,2016-09-20,King,98109,298
82,2016-11-21,Cowlitz,98632,307
83,2017-01-04,King,98125,313
84,2017-01-11,Jefferson,98368,314
85,2017-02-03,King,98006,317
86,2017-01-31,Snohomish,98275,317
87,2017-01-31,King,98006,317
88,2017-02-10,Pierce,98335,318
89,2017-02-23,King,98053,320
