,index,year,month,week,weekly_new_reg,year-month-week,year-month,cum_reg,cum_reg_norm
564,564,2020,4,17,62,2020-4-17,2020-4,59878,0.5591476169131929
565,565,2020,4,18,52,2020-4-18,2020-4,59930,0.5596331988644853
566,566,2020,5,18,14,2020-5-18,2020-5,59944,0.5597639324667563
567,567,2020,5,19,62,2020-5-19,2020-5,60006,0.560342895562528
568,568,2020,5,20,55,2020-5-20,2020-5,60061,0.5608564918571642
569,569,2020,5,21,50,2020-5-21,2020-5,60111,0.5613233975795607
570,570,2020,5,22,77,2020-5-22,2020-5,60188,0.5620424323920514
571,571,2020,6,23,104,2020-6-23,2020-6,60292,0.5630135962946362
572,572,2020,6,24,109,2020-6-24,2020-6,60401,0.5640314507694606
573,573,2020,6,25,89,2020-6-25,2020-6,60490,0.5648625429553265
574,574,2020,6,26,190,2020-6-26,2020-6,60680,0.5666367847004333
575,575,2020,6,27,25,2020-6-27,2020-6,60705,0.5668702375616316
576,576,2020,7,27,101,2020-7-27,2020-7,60806,0.5678133871208726
577,577,2020,7,28,245,2020-7-28,2020-7,61051,0.5701012251606156
578,578,2020,7,29,362,2020-7-29,2020-7,61413,0.5734816225907665
579,579,2020,7,30,391,2020-7-30,2020-7,61804,0.5771328253399074
580,580,2020,7,31,430,2020-7-31,2020-7,62234,0.5811482145525175
581,581,2020,8,31,1,2020-8-31,2020-8,62235,0.5811575526669654
582,582,2020,8,32,282,2020-8-32,2020-8,62517,0.5837909009412819
583,583,2020,8,33,93,2020-8-33,2020-8,62610,0.5846593455849395
584,584,2020,8,34,189,2020-8-34,2020-8,62799,0.5864242492155984
585,585,2020,8,35,160,2020-8-35,2020-8,62959,0.5879183475272673
586,586,2020,8,36,18,2020-8-36,2020-8,62977,0.58808643358733
587,587,2020,9,36,126,2020-9-36,2020-9,63103,0.5892630360077693
588,588,2020,9,37,115,2020-9-37,2020-9,63218,0.5903369191692813
589,589,2020,9,38,182,2020-9-38,2020-9,63400,0.5920364559988047
590,590,2020,9,39,216,2020-9-39,2020-9,63616,0.5940534887195578
591,591,2020,9,40,143,2020-9-40,2020-9,63759,0.5953888390856118
592,592,2020,10,40,55,2020-10-40,2020-10,63814,0.595902435380248
593,593,2020,10,41,362,2020-10-41,2020-10,64176,0.599282832810399
594,594,2020,10,42,400,2020-10-42,2020-10,64576,0.6030180785895712
595,595,2020,10,43,313,2020-10-43,2020-10,64889,0.6059409084117735
596,596,2020,10,44,92,2020-10-44,2020-10,64981,0.6068000149409831
597,597,2020,11,45,570,2020-11-45,2020-11,65551,0.6121227401763036
598,598,2020,11,46,473,2020-11-46,2020-11,66024,0.6165396683101748
599,599,2020,11,47,335,2020-11-47,2020-11,66359,0.6196679366502316
600,600,2020,11,48,133,2020-11-48,2020-11,66492,0.6209099058718064
601,601,2020,11,49,4,2020-11-49,2020-11,66496,0.6209472583295981
602,602,2020,12,49,251,2020-12-49,2020-12,66747,0.6232911250560287
603,603,2020,12,50,110,2020-12-50,2020-12,66857,0.6243183176453011
604,604,2020,12,51,403,2020-12-51,2020-12,67260,0.6280815777678171
605,605,2020,12,52,191,2020-12-52,2020-12,67451,0.6298651576273718
606,606,2020,12,53,213,2020-12-53,2020-12,67664,0.6318541760047811
607,607,2021,1,1,393,2021-1-1,2021-1,68057,0.6355240549828178
608,608,2021,1,2,448,2021-1-2,2021-1,68505,0.6397075302554908
609,609,2021,1,3,126,2021-1-3,2021-1,68631,0.64088413267593
610,610,2021,1,4,786,2021-1-4,2021-1,69417,0.6482238906320036
611,611,2021,2,5,356,2021-2-5,2021-2,69773,0.6515482593754669
612,612,2021,2,6,303,2021-2-6,2021-2,70076,0.65437770805319
613,613,2021,2,7,154,2021-2-7,2021-2,70230,0.6558157776781712
614,614,2021,2,8,240,2021-2-8,2021-2,70470,0.6580569251456746
615,615,2021,3,9,235,2021-3-9,2021-3,70705,0.6602513820409383
616,616,2021,3,10,198,2021-3-10,2021-3,70903,0.6621003287016286
617,617,2021,3,11,192,2021-3-11,2021-3,71095,0.6638932466756312
618,618,2021,3,12,307,2021-3-12,2021-3,71402,0.666760047811146
619,619,2021,3,13,141,2021-3-13,2021-3,71543,0.6680767219483043
620,620,2021,4,13,78,2021-4-13,2021-4,71621,0.6688050948752428
621,621,2021,4,14,861,2021-4-14,2021-4,72482,0.676845211414911
622,622,2021,4,15,409,2021-4-15,2021-4,72891,0.6806645002241147
623,623,2021,4,16,415,2021-4-16,2021-4,73306,0.6845398177200059
624,624,2021,4,17,349,2021-4-17,2021-4,73655,0.6877988196623338
625,625,2021,5,17,74,2021-5-17,2021-5,73729,0.6884898401314806
626,626,2021,5,18,487,2021-5-18,2021-5,74216,0.6930375018676229
627,627,2021,5,19,386,2021-5-19,2021-5,74602,0.6966420140445241
628,628,2021,5,20,382,2021-5-20,2021-5,74984,0.7002091737636337
629,629,2021,5,21,358,2021-5-21,2021-5,75342,0.7035522187359928
630,630,2021,6,22,236,2021-6-22,2021-6,75578,0.7057560137457045
631,631,2021,6,23,291,2021-6-23,2021-6,75869,0.7084734050500523
632,632,2021,6,24,335,2021-6-24,2021-6,76204,0.711601673390109
633,633,2021,6,25,574,2021-6-25,2021-6,76778,0.7169617510832212
634,634,2021,6,26,230,2021-6-26,2021-6,77008,0.7191095174062453
635,635,2021,7,26,356,2021-7-26,2021-7,77364,0.7224338861497086
636,636,2021,7,27,352,2021-7-27,2021-7,77716,0.7257209024353802
637,637,2021,7,28,585,2021-7-28,2021-7,78301,0.7311836993874197
638,638,2021,7,29,610,2021-7-29,2021-7,78911,0.7368799492006574
639,639,2021,7,30,538,2021-7-30,2021-7,79449,0.7419038547736441
640,640,2021,8,31,554,2021-8-31,2021-8,80003,0.7470771701777977
641,641,2021,8,32,382,2021-8-32,2021-8,80385,0.7506443298969072
642,642,2021,8,33,412,2021-8-33,2021-8,80797,0.7544916330494547
643,643,2021,8,34,482,2021-8-34,2021-8,81279,0.7589926042133572
644,644,2021,8,35,59,2021-8-35,2021-8,81338,0.7595435529657851
645,645,2021,9,35,255,2021-9-35,2021-9,81593,0.7619247721500074
646,646,2021,9,36,361,2021-9-36,2021-9,81954,0.7652958314657105
647,647,2021,9,37,230,2021-9-37,2021-9,82184,0.7674435977887345
648,648,2021,9,38,424,2021-9-38,2021-9,82608,0.7714029583146571
649,649,2021,9,39,320,2021-9-39,2021-9,82928,0.7743911549379949
650,650,2021,10,39,132,2021-10-39,2021-10,83060,0.7756237860451217
651,651,2021,10,40,546,2021-10-40,2021-10,83606,0.7807223965336919
652,652,2021,10,41,541,2021-10-41,2021-10,84147,0.7857743164500224
653,653,2021,10,42,263,2021-10-42,2021-10,84410,0.7882302405498282
654,654,2021,10,43,665,2021-10-43,2021-10,85075,0.794440086657702
655,655,2021,11,44,218,2021-11-44,2021-11,85293,0.7964757956073509
656,656,2021,11,45,691,2021-11-45,2021-11,85984,0.8029284326908711
657,657,2021,11,46,547,2021-11-46,2021-11,86531,0.8080363812938891
658,658,2021,11,47,150,2021-11-47,2021-11,86681,0.8094370984610787
659,659,2021,11,48,439,2021-11-48,2021-11,87120,0.8135365307037203
660,660,2021,12,48,145,2021-12-48,2021-12,87265,0.8148905572986702
661,661,2021,12,49,600,2021-12-49,2021-12,87865,0.8204934259674287
662,662,2021,12,50,503,2021-12-50,2021-12,88368,0.8251904975347378
663,663,2021,12,51,345,2021-12-51,2021-12,88713,0.8284121470192739
664,664,2021,12,52,574,2021-12-52,2021-12,89287,0.8337722247123861
665,665,2022,1,1,438,2022-1-1,2022-1,89725,0.8378623188405797
666,666,2022,1,2,558,2022-1-2,2022-1,90283,0.8430729867025251
667,667,2022,1,3,323,2022-1-3,2022-1,90606,0.8460891976692066
668,668,2022,1,4,628,2022-1-4,2022-1,91234,0.8519535335425071
669,669,2022,1,5,35,2022-1-5,2022-1,91269,0.8522803675481847
670,670,2022,2,5,266,2022-2-5,2022-2,91535,0.8547643059913342
671,671,2022,2,6,517,2022-2-6,2022-2,92052,0.8595921111609144
672,672,2022,2,7,760,2022-2-7,2022-2,92812,0.8666890781413417
673,673,2022,2,8,288,2022-2-8,2022-2,93100,0.8693784551023457
674,674,2022,2,9,51,2022-2-9,2022-2,93151,0.8698546989391902
675,675,2022,3,9,277,2022-3-9,2022-3,93428,0.872441356641267
676,676,2022,3,10,542,2022-3-10,2022-3,93970,0.8775026146720454
677,677,2022,3,11,491,2022-3-11,2022-3,94461,0.8820876288659794
678,678,2022,3,12,314,2022-3-12,2022-3,94775,0.8850197968026297
679,679,2022,3,13,414,2022-3-13,2022-3,95189,0.8888857761840729
680,680,2022,4,13,254,2022-4-13,2022-4,95443,0.8912576572538473
681,681,2022,4,14,485,2022-4-14,2022-4,95928,0.8957866427610937
682,682,2022,4,15,787,2022-4-15,2022-4,96715,0.9031357388316151
683,683,2022,4,16,277,2022-4-16,2022-4,96992,0.9057223965336919
684,684,2022,4,17,710,2022-4-17,2022-4,97702,0.9123524577917227
685,685,2022,5,18,443,2022-5-18,2022-5,98145,0.916489242492156
686,686,2022,5,19,327,2022-5-19,2022-5,98472,0.9195428059166293
687,687,2022,5,20,434,2022-5-20,2022-5,98906,0.9235955475870312
688,688,2022,5,21,647,2022-5-21,2022-5,99553,0.9296373076348424
689,689,2022,5,22,50,2022-5-22,2022-5,99603,0.9301042133572389
690,690,2022,6,22,348,2022-6-22,2022-6,99951,0.9333538771851188
691,691,2022,6,23,458,2022-6-23,2022-6,100409,0.937630733602271
692,692,2022,6,24,348,2022-6-24,2022-6,100757,0.940880397430151
693,693,2022,6,25,310,2022-6-25,2022-6,101067,0.9437752129090095
694,694,2022,6,26,796,2022-6-26,2022-6,101863,0.9512083520095622
695,695,2022,7,26,48,2022-7-26,2022-7,101911,0.9516565815030629
696,696,2022,7,27,642,2022-7-27,2022-7,102553,0.9576516509786344
697,697,2022,7,28,1115,2022-7-28,2022-7,103668,0.9680636485880771
698,698,2022,7,29,457,2022-7-29,2022-7,104125,0.9723311668907814
699,699,2022,7,30,400,2022-7-30,2022-7,104525,0.9760664126699536
700,700,2022,8,31,827,2022-8-31,2022-8,105352,0.9837890333183924
701,701,2022,8,32,529,2022-8-32,2022-8,105881,0.9887288958613477
702,702,2022,8,33,421,2022-8-33,2022-8,106302,0.9926602420439264
703,703,2022,8,34,491,2022-8-34,2022-8,106793,0.9972452562378604
704,704,2022,8,35,295,2022-8-35,2022-8,107088,1.0
