zip,primary_city,acceptable_cities,state,county,latitude,longitude,irs_estimated_population
99140,Keller,,WA,Ferry County,48.1,-118.71,270
99141,Kettle Falls,,WA,Stevens County,48.74,-118.09,4930
99143,Lacrosse,,WA,Whitman County,46.73,-117.87,510
99144,Lamona,Odessa,WA,Lincoln County,47.35,-118.48,32
99146,Laurier,,WA,Ferry County,48.95,-118.28,48
99147,Lincoln,Creston,WA,Lincoln County,47.83,-118.46,152
99148,Loon Lake,,WA,Stevens County,48.09,-117.58,2090
99149,Malden,,WA,Whitman County,47.22,-117.46,121
99150,Malo,,WA,Ferry County,48.81,-118.61,330
99151,Marcus,,WA,Stevens County,48.66,-118.06,141
99152,Metaline,,WA,Pend Oreille County,48.84,-117.4,169
99153,Metaline Falls,Metaline Fls,WA,Pend Oreille County,48.89,-117.21,380
99154,Mohler,Harrington,WA,Lincoln County,47.36,-118.35,0
99155,Nespelem,,WA,Okanogan County,48.21,-119.04,1020
99156,Newport,,WA,Pend Oreille County,48.15,-117.24,7500
99157,Northport,,WA,Stevens County,48.93,-117.77,630
99158,Oakesdale,,WA,Whitman County,47.12,-117.25,550
99159,Odessa,,WA,Lincoln County,47.34,-118.66,1130
99160,Orient,Kettle Falls,WA,Ferry County,48.84,-118.31,142
99161,Palouse,,WA,Whitman County,46.88,-117.15,1340
99163,Pullman,,WA,Whitman County,46.72,-117.18,17720
99164,Pullman,,WA,Whitman County,46.73,-117.15,38
99165,Pullman,,WA,Whitman County,46.73,-117.17,20
99166,Republic,,WA,Ferry County,48.59,-118.7,2420
99167,Rice,,WA,Stevens County,48.42,-118.11,610
99169,Ritzville,,WA,Adams County,47.07,-118.47,2180
99170,Rosalia,Plaza,WA,Whitman County,47.25,-117.38,940
99171,Saint John,,WA,Whitman County,47.1,-117.64,880
99173,Springdale,,WA,Stevens County,48.02,-117.85,1520
99174,Steptoe,,WA,Whitman County,47.01,-117.36,71
99176,Thornton,,WA,Whitman County,47.09,-117.39,175
99179,Uniontown,,WA,Whitman County,46.51,-117.13,460
99180,Usk,,WA,Pend Oreille County,48.3,-117.36,1080
99181,Valley,,WA,Stevens County,48.14,-117.76,1720
99185,Wilbur,,WA,Lincoln County,47.72,-118.7,1290
99201,Spokane,,WA,Spokane County,47.66,-117.43,9730
99202,Spokane,,WA,Spokane County,47.65,-117.37,13970
99203,Spokane,,WA,Spokane County,47.62,-117.4,19860
99204,Spokane,,WA,Spokane County,47.65,-117.43,5210
99205,Spokane,,WA,Spokane County,47.69,-117.45,37380
99206,Spokane,"Millwood, Spokane Valley, Spokane Vly",WA,Spokane County,47.63,-117.25,34690
99207,Spokane,,WA,Spokane County,47.69,-117.38,25280
99208,Spokane,,WA,Spokane County,47.78,-117.45,51880
99209,Spokane,,WA,Spokane County,47.69,-117.44,1317
99210,Spokane,,WA,Spokane County,47.65,-117.42,861
99211,Spokane,"Spokane Valley, Spokane Vly",WA,Spokane County,47.66,-117.31,340
99212,Spokane,"Millwood, Spokane Valley, Spokane Vly",WA,Spokane County,47.65,-117.31,18540
99213,Spokane,"Spokane Valley, Spokane Vly",WA,Spokane County,47.65,-117.29,363
99214,Spokane,"Spokane Valley, Spokane Vly",WA,Spokane County,47.71,-117.2,1251
99215,Spokane,"Spokane Valley, Spokane Vly",WA,Spokane County,47.69,-117.2,99
99216,Spokane,"Spokane Valley, Spokane Vly",WA,Spokane County,47.69,-117.19,23360
