zip,primary_city,acceptable_cities,state,county,latitude,longitude,irs_estimated_population
98329,Gig Harbor,Wauna,WA,Pierce County,47.37,-122.71,8750
98330,Elbe,,WA,Pierce County,46.76,-122.16,270
98331,Forks,,WA,Clallam County,47.79,-124.26,4640
98332,Gig Harbor,,WA,Pierce County,47.36,-122.6,17940
98333,Fox Island,,WA,Pierce County,47.24,-122.63,4130
98335,Gig Harbor,,WA,Pierce County,47.29,-122.62,27640
98336,Glenoma,,WA,Lewis County,46.53,-122.14,850
98337,Bremerton,Gorst,WA,Kitsap County,47.57,-122.63,5650
98338,Graham,,WA,Pierce County,47.01,-122.29,27720
98339,Port Hadlock,,WA,Jefferson County,48,-122.74,3460
98340,Hansville,,WA,Kitsap County,47.91,-122.57,2570
98342,Indianola,,WA,Kitsap County,47.75,-122.53,1530
98343,Joyce,,WA,Clallam County,48.13,-123.73,233
98344,Kapowsin,,WA,Pierce County,46.98,-122.22,544
98345,Keyport,,WA,Kitsap County,47.7,-122.62,1112
98346,Kingston,,WA,Kitsap County,47.81,-122.53,9730
98348,La Grande,,WA,Thurston County,46.82,-122.27,0
98349,Lakebay,Home,WA,Pierce County,47.28,-122.77,4360
98350,La Push,,WA,Clallam County,47.9,-124.61,296
98351,Longbranch,Lakebay,WA,Pierce County,47.2,-122.76,870
98352,Sumner,,WA,Pierce County,47.16,-122.24,0
98353,Manchester,,WA,Kitsap County,47.54,-122.49,1031
98354,Milton,,WA,Pierce County,47.25,-122.31,8390
98355,Mineral,,WA,Lewis County,46.71,-122.11,440
98356,Morton,,WA,Lewis County,46.57,-122.33,1970
98357,Neah Bay,,WA,Clallam County,48.33,-124.63,1102
98358,Nordland,,WA,Jefferson County,48.06,-122.71,840
98359,Olalla,,WA,Kitsap County,47.43,-122.57,5110
98360,Orting,,WA,Pierce County,47.04,-122.14,14750
98361,Packwood,,WA,Lewis County,46.56,-121.55,860
98362,Port Angeles,,WA,Clallam County,47.99,-123.25,21090
98363,Port Angeles,,WA,Clallam County,48.02,-123.82,11060
98364,Port Gamble,,WA,Kitsap County,47.85,-122.59,237
98365,Port Ludlow,Port Hadlock,WA,Jefferson County,47.89,-122.7,4650
98366,Port Orchard,"S Park Vlg, South Park Village",WA,Kitsap County,47.54,-122.58,31840
98367,Port Orchard,,WA,Kitsap County,47.46,-122.65,27400
98368,Port Townsend,,WA,Jefferson County,48.03,-122.84,14530
98370,Poulsbo,,WA,Kitsap County,47.75,-122.61,29880
98371,Puyallup,Edgewood,WA,Pierce County,47.19,-122.33,22860
98372,Puyallup,Edgewood,WA,Pierce County,47.22,-122.27,23410
98373,Puyallup,South Hill,WA,Pierce County,47.14,-122.32,27110
98374,Puyallup,South Hill,WA,Pierce County,47.12,-122.25,42390
98375,Puyallup,South Hill,WA,Pierce County,47.1,-122.32,31000
98376,Quilcene,,WA,Jefferson County,47.82,-122.84,1860
98377,Randle,,WA,Lewis County,46.47,-121.82,1450
98378,Retsil,,WA,Kitsap County,47.54,-122.61,27
98380,Seabeck,,WA,Kitsap County,47.58,-122.9,5240
98381,Sekiu,,WA,Clallam County,48.29,-124.4,250
98382,Sequim,,WA,Clallam County,48.06,-123.06,27110
98383,Silverdale,,WA,Kitsap County,47.67,-122.72,21350
98384,South Colby,,WA,Kitsap County,47.52,-122.53,1032
98385,South Prairie,,WA,Pierce County,47.14,-122.09,1156
98386,Southworth,,WA,Kitsap County,47.51,-122.49,467
98387,Spanaway,Bethel,WA,Pierce County,47.05,-122.36,49240
98388,Steilacoom,,WA,Pierce County,47.21,-122.68,6370
98390,Sumner,,WA,Pierce County,47.21,-122.23,11790
98391,Bonney Lake,"Lake Tapps, Sumner",WA,Pierce County,47.18,-122.16,53670
98392,Suquamish,,WA,Kitsap County,47.72,-122.56,2840
98393,Tracyton,,WA,Kitsap County,47.62,-122.65,1117
98394,Vaughn,,WA,Pierce County,47.31,-122.77,1880
98395,Wauna,,WA,Pierce County,47.36,-122.69,1422
98396,Wilkeson,,WA,Pierce County,47.1,-122.03,759
98397,Longmire,,WA,Pierce County,46.75,-121.81,0
98398,Paradise Inn,Paradise,WA,Lewis County,46.77,-121.74,0
98401,Tacoma,,WA,Pierce County,47.25,-122.44,1160
98402,Tacoma,,WA,Pierce County,47.26,-122.44,4290
98403,Tacoma,,WA,Pierce County,47.27,-122.46,6880
98404,Tacoma,,WA,Pierce County,47.2,-122.4,31320
98405,Tacoma,,WA,Pierce County,47.24,-122.47,19150
98406,Tacoma,,WA,Pierce County,47.26,-122.51,19400
98407,Tacoma,Ruston,WA,Pierce County,47.29,-122.5,19770
98408,Tacoma,,WA,Pierce County,47.19,-122.44,17810
98409,Tacoma,Lakewood,WA,Pierce County,47.21,-122.47,23100
98411,Tacoma,,WA,Pierce County,47.22,-122.47,1330
98412,Tacoma,,WA,Pierce County,47.17,-122.44,198
98413,Tacoma,,WA,Pierce County,47.2,-122.48,0
98415,Tacoma,,WA,Pierce County,47.25,-122.45,197
98416,Tacoma,,WA,Pierce County,47.26,-122.48,68
98417,Tacoma,,WA,Pierce County,47.24,-122.43,554
98418,Tacoma,,WA,Pierce County,47.22,-122.44,8860
98419,Tacoma,,WA,Pierce County,47.19,-122.43,35
98421,Tacoma,,WA,Pierce County,47.26,-122.39,190
98422,Tacoma,,WA,Pierce County,47.28,-122.38,20270
98424,Fife,Tacoma,WA,Pierce County,47.23,-122.36,11080
98430,Camp Murray,Tacoma,WA,Pierce County,47.12,-122.57,0
98431,Tacoma,"Joint Base Lewis Mcchord, Lewis Mcchord, Madigan Hosp, Madigan Hospital",WA,Pierce County,47.05,-122.55,151
98433,Tacoma,"Fort Lewis, Ft Lewis, Joint Base Lewis Mcchord, Lewis Mcchord",WA,Pierce County,47.11,-122.59,14060
98438,Mcchord AFB,"Joint Base Lewis Mcchord, Lewis Mcchord, Tacoma",WA,Pierce County,47.13,-122.5,610
98439,Lakewood,"Joint Base Lewis Mcchord, Lewis Mcchord, Mcchord AFB, Tacoma",WA,Pierce County,47.12,-122.5,4430
98442,Tacoma,,WA,Pierce County,47.14,-122.43,0
98443,Tacoma,,WA,Pierce County,47.2,-122.37,5260
98444,Tacoma,Parkland,WA,Pierce County,47.15,-122.44,30590
98445,Tacoma,Parkland,WA,Pierce County,47.13,-122.4,30420
98446,Tacoma,Parkland,WA,Pierce County,47.13,-122.37,11200
98447,Tacoma,,WA,Pierce County,47.14,-122.44,67
98448,Tacoma,Parkland,WA,Pierce County,47.25,-122.44,16
98450,Tacoma,,WA,Pierce County,47.25,-122.44,0
98455,Tacoma,,WA,Pierce County,47.25,-122.44,32
98460,Tacoma,,WA,Pierce County,47.25,-122.44,0
98464,Tacoma,"University Pl, University Place",WA,Pierce County,47.22,-122.53,918
98465,Tacoma,,WA,Pierce County,47.25,-122.54,6180
98466,Tacoma,"Fircrest, University Pl, University Place",WA,Pierce County,47.22,-122.54,26660
98467,University Place,"Tacoma, University Pl",WA,Pierce County,47.2,-122.54,14740
98471,Tacoma,,WA,Pierce County,47.25,-122.47,0
98477,Tacoma,,WA,Pierce County,47.25,-122.44,0
98481,Tacoma,,WA,Pierce County,47.22,-122.47,0
98490,Tacoma,,WA,Pierce County,47.2,-122.48,90
98492,Tacoma,Lakewood,WA,Pierce County,47.12,-122.55,0
98493,Tacoma,,WA,Pierce County,47.05,-122.55,0
98496,Lakewood,Tacoma,WA,Pierce County,47.17,-122.51,66
98497,Lakewood,"Oakbrook, Tacoma",WA,Pierce County,47.18,-122.54,159
98498,Lakewood,Tacoma,WA,Pierce County,47.15,-122.56,25940
98499,Lakewood,"Joint Base Lewis Mcchord, Lewis Mcchord, Mcchord AFB, Tacoma",WA,Pierce County,47.16,-122.5,26630
98501,Olympia,Tumwater,WA,Thurston County,46.97,-122.87,40220
98502,Olympia,,WA,Thurston County,47.1,-123.06,29890
98503,Lacey,Olympia,WA,Thurston County,47.02,-122.79,35200
98504,Olympia,,WA,Thurston County,47.02,-122.87,75
98505,Olympia,,WA,Thurston County,47.07,-122.98,96
98506,Olympia,Lacey,WA,Thurston County,47.1,-122.86,16850
98507,Olympia,,WA,Thurston County,47.03,-122.87,2975
98508,Olympia,,WA,Thurston County,47.03,-122.94,1495
98509,Lacey,Olympia,WA,Thurston County,47.03,-122.8,1899
98511,Tumwater,Olympia,WA,Thurston County,46.95,-123.03,892
98512,Olympia,Tumwater,WA,Thurston County,46.94,-123.04,27070
98513,Olympia,Lacey,WA,Thurston County,46.98,-122.74,33420
98516,Olympia,Lacey,WA,Thurston County,47.11,-122.76,27740
98520,Aberdeen,,WA,Grays Harbor County,46.88,-123.99,17770
98522,Adna,,WA,Lewis County,46.57,-123.29,312
98524,Allyn,,WA,Mason County,47.37,-122.84,3810
98526,Amanda Park,,WA,Grays Harbor County,47.47,-123.92,250
98527,Bay Center,,WA,Pacific County,46.59,-123.92,217
98528,Belfair,,WA,Mason County,47.43,-122.92,10330
98530,Bucoda,,WA,Thurston County,46.79,-122.82,453
98531,Centralia,,WA,Lewis County,46.74,-122.95,22700
98532,Chehalis,Napavine,WA,Lewis County,46.62,-123,22110
98533,Cinebar,,WA,Lewis County,46.59,-122.51,530
98535,Copalis Beach,,WA,Grays Harbor County,47.09,-124.13,450
98536,Copalis Crossing,Copalis Xing,WA,Grays Harbor County,47.16,-124.12,141
98537,Cosmopolis,,WA,Grays Harbor County,46.85,-123.62,2050
98538,Curtis,,WA,Lewis County,46.47,-123.08,390
98539,Doty,,WA,Lewis County,46.63,-123.28,221
98540,East Olympia,,WA,Thurston County,46.96,-122.82,691
98541,Elma,,WA,Grays Harbor County,47.1,-123.39,8970
98542,Ethel,,WA,Lewis County,46.53,-122.79,560
98544,Galvin,,WA,Lewis County,46.74,-123.03,260
98546,Grapeview,,WA,Mason County,47.32,-122.94,2540
98547,Grayland,,WA,Grays Harbor County,46.79,-124.08,1000
98548,Hoodsport,,WA,Mason County,47.42,-123.18,1910
98550,Hoquiam,,WA,Grays Harbor County,47.11,-123.96,8680
98552,Humptulips,,WA,Grays Harbor County,47.32,-123.91,280
98554,Lebam,,WA,Pacific County,46.55,-123.54,155
98555,Lilliwaup,,WA,Mason County,47.52,-123.06,480
98556,Littlerock,,WA,Thurston County,46.9,-123.02,496
98557,Mccleary,,WA,Grays Harbor County,47.03,-123.27,3240
98558,Mckenna,,WA,Pierce County,46.93,-122.56,1627
98559,Malone,,WA,Grays Harbor County,46.96,-123.33,101
98560,Matlock,,WA,Mason County,47.3,-123.43,270
98561,Menlo,,WA,Pacific County,46.62,-123.64,196
98562,Moclips,,WA,Grays Harbor County,47.24,-124.2,179
98563,Montesano,,WA,Grays Harbor County,47.17,-123.6,7450
98564,Mossyrock,,WA,Lewis County,46.48,-122.44,2230
98565,Napavine,,WA,Lewis County,46.58,-122.9,1635
98566,Neilton,,WA,Grays Harbor County,47.41,-123.87,144
98568,Oakville,,WA,Grays Harbor County,46.83,-123.28,2330
98569,Ocean Shores,Ocean City,WA,Grays Harbor County,46.97,-124.14,6310
98570,Onalaska,,WA,Lewis County,46.6,-122.67,3860
98571,Pacific Beach,,WA,Grays Harbor County,47.21,-124.19,300
98572,Pe Ell,,WA,Lewis County,46.55,-123.31,800
98575,Quinault,,WA,Grays Harbor County,47.44,-123.77,185
98576,Rainier,,WA,Thurston County,46.87,-122.66,5280
98577,Raymond,,WA,Pacific County,46.64,-123.63,5270
98579,Rochester,,WA,Thurston County,46.8,-123.14,12300
98580,Roy,,WA,Pierce County,46.98,-122.47,10060
98581,Ryderwood,,WA,Cowlitz County,46.36,-123.07,280
98582,Salkum,,WA,Lewis County,46.51,-122.63,700
98583,Satsop,,WA,Grays Harbor County,47,-123.49,347
98584,Shelton,"Skok, Skokomish Nation",WA,Mason County,47.23,-123.2,32540
98585,Silver Creek,,WA,Lewis County,46.55,-122.46,640
98586,South Bend,,WA,Pacific County,46.56,-123.88,1870
98587,Taholah,,WA,Grays Harbor County,47.31,-124.22,793
98588,Tahuya,,WA,Mason County,47.44,-123.02,1500
98589,Tenino,,WA,Thurston County,46.84,-122.85,7340
98590,Tokeland,,WA,Pacific County,46.71,-124,320
98591,Toledo,,WA,Lewis County,46.45,-122.76,4310
98592,Union,,WA,Mason County,47.33,-123.06,1970
98593,Vader,,WA,Lewis County,46.41,-122.99,990
98595,Westport,,WA,Grays Harbor County,46.87,-124.11,2600
98596,Winlock,,WA,Lewis County,46.48,-122.87,5960
98597,Yelm,,WA,Thurston County,46.87,-122.57,24880
98599,Olympia,,WA,Thurston County,46.99,-122.87,0
98601,Amboy,,WA,Clark County,45.93,-122.44,3540
98602,Appleton,,WA,Klickitat County,45.85,-121.28,230
98603,Ariel,,WA,Cowlitz County,46.01,-122.47,820
98604,Battle Ground,,WA,Clark County,45.8,-122.48,37340
98605,Bingen,Cook,WA,Klickitat County,45.77,-121.66,1390
98606,Brush Prairie,,WA,Clark County,45.73,-122.45,10370
98607,Camas,,WA,Clark County,45.64,-122.37,34580
98609,Carrolls,,WA,Cowlitz County,46.07,-122.86,133
98610,Carson,,WA,Skamania County,45.79,-121.89,2680
98611,Castle Rock,,WA,Cowlitz County,46.29,-122.95,9740
98612,Cathlamet,,WA,Wahkiakum County,46.22,-123.31,2680
98613,Centerville,,WA,Klickitat County,45.74,-120.93,360
98614,Chinook,,WA,Pacific County,46.28,-123.91,478
98616,Cougar,,WA,Cowlitz County,46.19,-122.13,280
98617,Dallesport,,WA,Klickitat County,45.66,-121.13,937
98619,Glenwood,,WA,Klickitat County,45.98,-121.27,390
98620,Goldendale,,WA,Klickitat County,45.84,-120.76,6480
98621,Grays River,,WA,Wahkiakum County,46.35,-123.6,170
98622,Heisson,,WA,Clark County,45.82,-122.48,348
98623,Husum,,WA,Klickitat County,45.8,-121.46,403
98624,Ilwaco,,WA,Pacific County,46.31,-123.99,1160
98625,Kalama,,WA,Cowlitz County,46.01,-122.7,7200
98626,Kelso,,WA,Cowlitz County,46.14,-122.8,22990
98628,Klickitat,,WA,Klickitat County,45.89,-121.08,360
98629,La Center,,WA,Clark County,45.87,-122.61,9170
98631,Long Beach,,WA,Pacific County,46.39,-124.03,3210
98632,Longview,,WA,Cowlitz County,46.19,-123.05,43740
98635,Lyle,,WA,Klickitat County,45.72,-121.16,1610
98637,Nahcotta,,WA,Pacific County,46.49,-124.03,83
98638,Naselle,,WA,Pacific County,46.36,-123.75,1410
98639,North Bonneville,N Bonneville,WA,Skamania County,45.67,-121.99,825
98640,Ocean Park,,WA,Pacific County,46.54,-124.04,4220
98641,Oysterville,,WA,Pacific County,46.55,-124.03,167
98642,Ridgefield,,WA,Clark County,45.79,-122.69,23490
98643,Rosburg,,WA,Wahkiakum County,46.29,-123.63,340
98644,Seaview,,WA,Pacific County,46.33,-124.05,662
98645,Silverlake,,WA,Cowlitz County,46.32,-122.78,1410
98647,Skamokawa,,WA,Wahkiakum County,46.28,-123.44,390
98648,Stevenson,,WA,Skamania County,45.7,-121.72,2700
98649,Toutle,,WA,Cowlitz County,46.31,-122.69,1150
98650,Trout Lake,,WA,Klickitat County,45.97,-121.53,1160
98651,Underwood,,WA,Skamania County,45.74,-121.58,810
98660,Vancouver,,WA,Clark County,45.72,-122.74,10090
98661,Vancouver,,WA,Clark County,45.64,-122.63,40150
98662,Vancouver,,WA,Clark County,45.68,-122.57,33500
98663,Vancouver,,WA,Clark County,45.65,-122.66,12960
98664,Vancouver,,WA,Clark County,45.62,-122.57,20560
98665,Vancouver,,WA,Clark County,45.67,-122.66,26610
98666,Vancouver,,WA,Clark County,45.71,-122.59,1090
98667,Vancouver,,WA,Clark County,45.63,-122.66,0
98668,Vancouver,,WA,Clark County,45.71,-122.62,1680
98670,Wahkiacus,Klickitat,WA,Klickitat County,45.85,-121.14,29
98671,Washougal,,WA,Clark County,45.61,-122.23,23150
98672,White Salmon,,WA,Klickitat County,45.82,-121.46,6520
98673,Wishram,,WA,Klickitat County,45.66,-121.03,233
98674,Woodland,,WA,Cowlitz County,45.94,-122.67,13990
98675,Yacolt,,WA,Clark County,45.83,-122.38,6390
98682,Vancouver,,WA,Clark County,45.67,-122.47,63220
98683,Vancouver,,WA,Clark County,45.6,-122.51,30350
98684,Vancouver,,WA,Clark County,45.63,-122.52,29450
98685,Vancouver,,WA,Clark County,45.7,-122.69,28550
98686,Vancouver,,WA,Clark County,45.72,-122.61,19810
98687,Vancouver,,WA,Clark County,45.63,-122.52,1828
98801,Wenatchee,,WA,Chelan County,47.37,-120.35,39380
98802,East Wenatchee,"E Wenatchee, Wenatchee",WA,Douglas County,47.49,-120.19,29920
98807,Wenatchee,,WA,Chelan County,47.37,-120.29,3875
98811,Ardenvoir,,WA,Chelan County,47.72,-120.36,81
98812,Brewster,,WA,Okanogan County,48.15,-119.82,5560
98813,Bridgeport,,WA,Douglas County,47.97,-119.59,5300
98814,Carlton,,WA,Okanogan County,48.21,-120.16,470
98815,Cashmere,,WA,Chelan County,47.55,-120.48,7060
98816,Chelan,,WA,Chelan County,47.89,-119.99,7620
98817,Chelan Falls,,WA,Chelan County,47.79,-119.99,338
98819,Conconully,,WA,Okanogan County,48.55,-119.81,197
98821,Dryden,,WA,Chelan County,47.54,-120.55,954
98822,Entiat,,WA,Chelan County,47.79,-120.44,2100
98823,Ephrata,,WA,Grant County,47.27,-119.59,11400
98824,George,,WA,Grant County,47.08,-119.86,439
98826,Leavenworth,,WA,Chelan County,47.81,-120.86,6740
98827,Loomis,,WA,Okanogan County,48.87,-119.73,290
98828,Malaga,,WA,Chelan County,47.32,-120.19,2290
98829,Malott,,WA,Okanogan County,48.3,-119.77,701
98830,Mansfield,,WA,Douglas County,47.89,-119.5,440
98831,Manson,,WA,Chelan County,47.97,-120.15,3760
98832,Marlin,,WA,Grant County,47.27,-119.04,420
98833,Mazama,,WA,Okanogan County,48.59,-120.39,118
98834,Methow,,WA,Okanogan County,48.14,-120.05,190
98836,Monitor,,WA,Chelan County,47.47,-120.41,1015
98837,Moses Lake,,WA,Grant County,47.19,-119.3,42030
98840,Okanogan,,WA,Okanogan County,48.22,-119.45,4020
98841,Omak,,WA,Okanogan County,48.36,-119.27,7810
98843,Orondo,,WA,Douglas County,47.72,-120.15,1750
98844,Oroville,,WA,Okanogan County,48.87,-119.22,3620
98845,Palisades,,WA,Douglas County,47.38,-119.96,111
98846,Pateros,,WA,Okanogan County,48.01,-119.97,1190
98847,Peshastin,,WA,Chelan County,47.51,-120.62,1720
98848,Quincy,George,WA,Grant County,47.17,-119.8,14320
98849,Riverside,,WA,Okanogan County,48.56,-119.35,900
98850,Rock Island,,WA,Douglas County,47.31,-120.08,2080
98851,Soap Lake,,WA,Grant County,47.41,-119.43,3580
98852,Stehekin,,WA,Chelan County,48.34,-120.7,85
98853,Stratford,,WA,Grant County,47.44,-119.27,75
98855,Tonasket,,WA,Okanogan County,48.68,-119.3,5100
98856,Twisp,,WA,Okanogan County,48.32,-119.93,2430
98857,Warden,,WA,Grant County,47.01,-119.12,3860
98858,Waterville,,WA,Douglas County,47.69,-119.88,1490
98859,Wauconda,,WA,Okanogan County,48.82,-118.95,180
98860,Wilson Creek,,WA,Grant County,47.46,-119.14,231
98862,Winthrop,,WA,Okanogan County,48.5,-120.33,2590
98901,Yakima,Union Gap,WA,Yakima County,46.72,-120.41,26840
98902,Yakima,,WA,Yakima County,46.59,-120.53,40670
